games: 41, white: 17%, black: 41%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 a6 5. Nf3 dxc4 6. a4 Bb4 7. Bxc4 b6 8. O-O Bb7 9. Qe2 O-O 10. Rd1 Qe7 
games: 12, white: 16%, black: 41%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Bb4 7. cxd5 Nxd5 8. Qc2 Nc6 9. Bd3 Nf6 10. O-O Be7 
games: 12, white: 16%, black: 41%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 a6 5. Nf3 dxc4 6. a4 b6 7. Bxc4 Bb7 8. Qe2 Bb4 9. O-O O-O 10. Rd1 Qe7 11. Ne5
games: 12, white: 16%, black: 41%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 a6 5. Nf3 dxc4 6. a4 Bb4 7. Bxc4 b6 8. O-O Bb7 9. Qe2 O-O 10. Rd1 Qe7 11. Ne5
games: 42, white: 42%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. c5 O-O 8. b4
games: 10, white: 30%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Bb4 7. cxd5 Nxd5 8. Bd2 Nc6 9. Bd3 O-O 10. O-O Be7 11. Re1 Ndb4 12. Be4 Nxd4 13. Nxd4 Qxd4 14. Qe2
games: 10, white: 30%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Bb4 7. cxd5 Nxd5 8. Bd2 Nc6 9. Bd3 Be7 10. O-O O-O 11. Re1 Ndb4 12. Be4 Nxd4 13. Nxd4 Qxd4 14. Qe2
games: 10, white: 30%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Bb4 7. cxd5 Nxd5 8. Bd2 O-O 9. Bd3 Nc6 10. O-O Be7 11. Re1 Ndb4 12. Be4 Nxd4 13. Nxd4 Qxd4 14. Qe2
games: 10, white: 30%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Bb4 7. cxd5 Nxd5 8. Bd2 O-O 9. Bd3 Be7 10. O-O Nc6 11. Re1 Ndb4 12. Be4 Nxd4 13. Nxd4 Qxd4 14. Qe2
games: 76, white: 22%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 a6 5. Nf3 dxc4 6. Bxc4 b5 7. Be2 Bb7 8. O-O Nbd7 9. b3
games: 10, white: 20%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 a6 5. Nf3 dxc4 6. a4 c5 7. Bxc4 Nc6 8. O-O Be7 9. Ne5 cxd4 10. Nxc6 bxc6 11. exd4 a5 12. Qf3 Nd5 
games: 159, white: 18%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 a6 5. Nf3 dxc4 6. Bxc4 b5 7. Be2 Bb7 8. O-O Nbd7 
games: 25, white: 16%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 a6 5. Nf3 dxc4 6. a4 Bb4 7. Bxc4 b6 8. O-O Bb7 9. Qb3
games: 20, white: 15%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 a6 5. Nf3 dxc4 6. a4 Bb4 7. Bxc4 b6 8. O-O Bb7 9. Qb3 Qe7 
games: 10, white: 10%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Bb4 7. cxd5 Nxd5 8. Bd2 Be7 
games: 10, white: 10%, black: 40%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Bb4 7. cxd5 Nxd5 8. Bd2 Be7 9. Bd3
games: 38, white: 42%, black: 39%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 Nc6 9. O-O O-O 10. Re1 Nf6 11. a3 b6 12. Be3
games: 38, white: 42%, black: 39%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 O-O 9. O-O Nc6 10. Re1 Nf6 11. a3 b6 12. Be3
games: 38, white: 42%, black: 39%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 O-O 9. O-O Nf6 10. Re1 Nc6 11. a3 b6 12. Be3
games: 38, white: 42%, black: 39%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 Nc6 9. O-O O-O 10. Re1 Nf6 11. a3 b6 12. Be3 Bb7 
games: 38, white: 42%, black: 39%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 O-O 9. O-O Nc6 10. Re1 Nf6 11. a3 b6 12. Be3 Bb7 
games: 38, white: 42%, black: 39%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 O-O 9. O-O Nf6 10. Re1 Nc6 11. a3 b6 12. Be3 Bb7 
games: 38, white: 42%, black: 39%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Bb4 7. cxd5 Nxd5 8. Bd2 Nc6 9. Bd3 O-O 10. O-O Nf6 11. a3 Be7 12. Be3 b6 13. Re1
games: 38, white: 42%, black: 39%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Bb4 7. cxd5 Nxd5 8. Bd2 O-O 9. Bd3 Nc6 10. O-O Nf6 11. a3 Be7 12. Be3 b6 13. Re1
games: 38, white: 42%, black: 39%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Bb4 7. cxd5 Nxd5 8. Bd2 Nc6 9. Bd3 O-O 10. O-O Nf6 11. a3 Be7 12. Be3 b6 13. Re1 Bb7 
games: 38, white: 42%, black: 39%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Bb4 7. cxd5 Nxd5 8. Bd2 O-O 9. Bd3 Nc6 10. O-O Nf6 11. a3 Be7 12. Be3 b6 13. Re1 Bb7 
