games: 26, white: 19%, black: 53%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. f4 e5 7. Nh3 h5 
games: 26, white: 19%, black: 53%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 d6 6. d3 e5 7. Nh3 h5 
games: 26, white: 19%, black: 53%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. f4 e5 7. Nh3 h5 
games: 26, white: 19%, black: 53%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. f4 e5 7. Nh3 h5 
games: 37, white: 18%, black: 51%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Nge2 e6 7. O-O Nge7 8. f4
games: 37, white: 18%, black: 51%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nge2 d6 6. d3 e6 7. O-O Nge7 8. f4
games: 37, white: 18%, black: 51%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nge2 e6 6. d3 d6 7. O-O Nge7 8. f4
games: 37, white: 18%, black: 51%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nge2 e6 6. O-O Nge7 7. d3 d6 8. f4
games: 37, white: 18%, black: 51%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Nge2 e6 7. O-O Nge7 8. f4
games: 37, white: 18%, black: 51%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. Nge2 e6 7. O-O Nge7 8. f4
games: 28, white: 17%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. f4 Nf6 7. Nf3 Bg4 8. h3 Bxf3 
games: 28, white: 17%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 d6 6. d3 Nf6 7. Nf3 Bg4 8. h3 Bxf3 
games: 28, white: 17%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. f4 Nf6 7. Nf3 Bg4 8. h3 Bxf3 
games: 28, white: 17%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. f4 Nf6 7. Nf3 Bg4 8. h3 Bxf3 
games: 85, white: 15%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Be3 e5 7. Qd2 Nge7 8. Bh6 Bxh6 
games: 85, white: 15%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Be3 e5 7. Qd2 Nge7 8. Bh6 Bxh6 
games: 85, white: 15%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. Be3 e5 7. Qd2 Nge7 8. Bh6 Bxh6 
games: 85, white: 15%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Be3 e5 7. Qd2 Nge7 8. Bh6 Bxh6 9. Qxh6
games: 85, white: 15%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Be3 e5 7. Qd2 Nge7 8. Bh6 Bxh6 9. Qxh6
games: 85, white: 15%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. Be3 e5 7. Qd2 Nge7 8. Bh6 Bxh6 9. Qxh6
games: 78, white: 15%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Be3 e5 7. Qd2 Nge7 8. Bh6 Bxh6 9. Qxh6 Nd4 
games: 78, white: 15%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Be3 e5 7. Qd2 Nge7 8. Bh6 Bxh6 9. Qxh6 Nd4 
games: 78, white: 15%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. Be3 e5 7. Qd2 Nge7 8. Bh6 Bxh6 9. Qxh6 Nd4 
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Nh3 Rb8 7. O-O
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Nh3 Rb8 7. O-O
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. Nh3 Rb8 7. O-O
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Be3 e6 7. Nh3 Nge7 8. O-O b6 
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e6 6. Be3 d6 7. Nh3 Nge7 8. O-O b6 
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Be3 e6 7. Nh3 Nge7 8. O-O b6 
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e6 6. Be3 d6 7. Nh3 Nge7 8. O-O b6 
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. Be3 e6 7. Nh3 Nge7 8. O-O b6 
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Be3 e6 7. Nh3 Nge7 8. O-O b6 9. Qd2
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e6 6. Be3 d6 7. Nh3 Nge7 8. O-O b6 9. Qd2
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Be3 e6 7. Nh3 Nge7 8. O-O b6 9. Qd2
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e6 6. Be3 d6 7. Nh3 Nge7 8. O-O b6 9. Qd2
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. Be3 e6 7. Nh3 Nge7 8. O-O b6 9. Qd2
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Be3 e6 7. Nh3 Nge7 8. O-O b6 9. Qd2 h6 
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e6 6. Be3 d6 7. Nh3 Nge7 8. O-O b6 9. Qd2 h6 
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Be3 e6 7. Nh3 Nge7 8. O-O b6 9. Qd2 h6 
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e6 6. Be3 d6 7. Nh3 Nge7 8. O-O b6 9. Qd2 h6 
games: 24, white: 12%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. Be3 e6 7. Nh3 Nge7 8. O-O b6 9. Qd2 h6 
games: 25, white: 20%, black: 52%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 d6 6. d3 Nf6 7. O-O Bg4 8. h3 Bxf3 9. Bxf3
games: 13, white: 30%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Be3 Rb8 7. f4 e6 
games: 13, white: 30%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 Rb8 6. Be3 d6 7. f4 e6 
games: 13, white: 30%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Be3 Rb8 7. f4 e6 
games: 13, white: 30%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 Rb8 6. Be3 d6 7. f4 e6 
games: 13, white: 30%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. Be3 Rb8 7. f4 e6 
games: 13, white: 30%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. f4 e6 7. Nf3 Nge7 8. O-O b6 
games: 13, white: 30%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 d6 6. d3 e6 7. Nf3 Nge7 8. O-O b6 
games: 13, white: 30%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 e6 6. d3 d6 7. Nf3 Nge7 8. O-O b6 
games: 13, white: 30%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. f4 e6 7. Nf3 Nge7 8. O-O b6 
games: 13, white: 30%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. f4 e6 7. Nf3 Nge7 8. O-O b6 
games: 19, white: 21%, black: 52%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Be3 Nf6 7. h3 Rb8 8. Nge2 b5 9. Qd2
games: 19, white: 21%, black: 52%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Be3 Nf6 7. h3 Rb8 8. Nge2 b5 9. Qd2
games: 19, white: 21%, black: 52%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. Be3 Nf6 7. h3 Rb8 8. Nge2 b5 9. Qd2
games: 20, white: 25%, black: 55%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. f4 Rb8 7. Nf3 b5 8. O-O e6 
games: 20, white: 25%, black: 55%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 Rb8 6. f4 d6 7. Nf3 b5 8. O-O e6 
games: 20, white: 25%, black: 55%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 d6 6. d3 Rb8 7. Nf3 b5 8. O-O e6 
games: 20, white: 25%, black: 55%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. f4 Rb8 7. Nf3 b5 8. O-O e6 
games: 20, white: 25%, black: 55%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 Rb8 6. f4 d6 7. Nf3 b5 8. O-O e6 
games: 20, white: 25%, black: 55%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. f4 Rb8 7. Nf3 b5 8. O-O e6 
games: 27, white: 18%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. f4 Nf6 7. Nf3 Bg4 8. h3 Bxf3 9. Qxf3
