games: 84, white: 33%, black: 25%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 g6 
games: 103, white: 32%, black: 24%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. g3 Bf5 7. Bg2
games: 103, white: 32%, black: 24%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. g3 Bf5 7. Bg2
games: 103, white: 32%, black: 24%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. g3 Bf5 7. Bg2
games: 11, white: 45%, black: 36%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 g6 6. Be2 Bg7 7. O-O O-O 8. Nb5
games: 11, white: 45%, black: 36%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 g6 6. Be2 Bg7 7. O-O O-O 8. Nb5
games: 61, white: 31%, black: 22%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. Ne5 Be6 
games: 61, white: 31%, black: 22%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. Ne5 Be6 
games: 61, white: 31%, black: 22%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. Ne5 Be6 
games: 153, white: 30%, black: 21%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. h3
games: 153, white: 30%, black: 21%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. h3
games: 153, white: 30%, black: 21%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. h3
games: 23, white: 30%, black: 21%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. h3 Bf5 7. Ne5 Nbd7 8. Nc4
games: 23, white: 30%, black: 21%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. h3 Bf5 7. Ne5 Nbd7 8. Nc4
games: 23, white: 30%, black: 21%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. h3 Bf5 7. Ne5 Nbd7 8. Nc4
games: 21, white: 28%, black: 19%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. h3 Bf5 7. Ne5 Nbd7 8. Nc4 Qc7 
games: 21, white: 28%, black: 19%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. h3 Bf5 7. Ne5 Nbd7 8. Nc4 Qc7 
games: 21, white: 28%, black: 19%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. h3 Bf5 7. Ne5 Nbd7 8. Nc4 Qc7 
games: 21, white: 28%, black: 19%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. h3 Bf5 7. Ne5 Nbd7 8. Nc4 Qc7 9. Qf3
games: 21, white: 28%, black: 19%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. h3 Bf5 7. Ne5 Nbd7 8. Nc4 Qc7 9. Qf3
games: 21, white: 28%, black: 19%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. h3 Bf5 7. Ne5 Nbd7 8. Nc4 Qc7 9. Qf3
games: 23, white: 26%, black: 17%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. g3 g6 7. Bg2 Bg7 8. O-O
games: 23, white: 26%, black: 17%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. g3 g6 7. Bg2 Bg7 8. O-O
games: 23, white: 26%, black: 17%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. g3 g6 7. Bg2 Bg7 8. O-O
games: 276, white: 35%, black: 25%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 
games: 162, white: 35%, black: 25%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bd3
games: 20, white: 35%, black: 25%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. g3
games: 10, white: 30%, black: 20%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 g6 5. Nb5
games: 91, white: 35%, black: 24%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. g3 Bf5 
games: 91, white: 35%, black: 24%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. g3 Bf5 
games: 91, white: 35%, black: 24%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. g3 Bf5 
games: 16, white: 43%, black: 31%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bd3 g6 6. Nge2 Bg7 
games: 16, white: 43%, black: 31%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bd3 g6 6. Nge2 Bg7 7. Bf4
games: 60, white: 38%, black: 26%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. g3 Bf5 7. Bg2 e6 8. O-O h6 
games: 60, white: 38%, black: 26%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. g3 Bf5 7. Bg2 h6 8. O-O e6 
games: 60, white: 38%, black: 26%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. g3 Bf5 7. Bg2 e6 8. O-O h6 
games: 60, white: 38%, black: 26%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. g3 Bf5 7. Bg2 h6 8. O-O e6 
games: 60, white: 38%, black: 26%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. g3 Bf5 7. Bg2 e6 8. O-O h6 
games: 60, white: 38%, black: 26%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. g3 Bf5 7. Bg2 h6 8. O-O e6 
games: 5400, white: 36%, black: 24%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 
games: 268, white: 36%, black: 24%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3
games: 4250, white: 35%, black: 23%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 
games: 25, white: 32%, black: 20%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. h3 Bf5 7. Ne5 Nbd7 
games: 25, white: 32%, black: 20%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. h3 Bf5 7. Ne5 Nbd7 
games: 25, white: 32%, black: 20%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. h3 Bf5 7. Ne5 Nbd7 
games: 80, white: 41%, black: 28%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 a6 
games: 73, white: 39%, black: 26%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 Bg4 6. h3 Bh5 7. g4 Bg6 8. Ne5 Nbd7 
games: 73, white: 39%, black: 26%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 Bg4 6. h3 Bh5 7. g4 Bg6 8. Ne5 Nbd7 
games: 242, white: 38%, black: 25%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4 a6 
games: 4830, white: 36%, black: 23%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4
games: 1345, white: 34%, black: 21%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 
games: 1345, white: 34%, black: 21%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 
games: 1345, white: 34%, black: 21%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 
games: 190, white: 33%, black: 20%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 g6 6. Nb5 Qb6 
games: 190, white: 33%, black: 20%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 g6 6. Nb5 Qb6 
games: 31, white: 32%, black: 19%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. g3 g6 7. Bg2 Bg7 8. O-O O-O 
games: 31, white: 32%, black: 19%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. g3 g6 7. Bg2 Bg7 8. O-O O-O 
games: 31, white: 32%, black: 19%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. g3 g6 7. Bg2 Bg7 8. O-O O-O 
games: 3434, white: 36%, black: 22%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3
games: 3434, white: 36%, black: 22%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4
games: 14, white: 35%, black: 21%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 g6 5. Bc4
games: 639, white: 34%, black: 20%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. Ne5 Nbd7 
games: 639, white: 34%, black: 20%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. Ne5 Nbd7 
games: 639, white: 34%, black: 20%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. Ne5 Nbd7 
games: 34, white: 44%, black: 29%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 a6 6. g3 Bg4 7. h3 Bxf3 
games: 34, white: 44%, black: 29%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 a6 6. g3 Bg4 7. h3 Bxf3 
games: 34, white: 44%, black: 29%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 a6 6. g3 Bg4 7. h3 Bxf3 8. Qxf3
games: 34, white: 44%, black: 29%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 a6 6. g3 Bg4 7. h3 Bxf3 8. Qxf3
games: 20, white: 40%, black: 25%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4 Bg4 
games: 327, white: 39%, black: 24%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4
games: 39, white: 38%, black: 23%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 a6 6. g3 Bg4 7. Bg2 c6 
games: 39, white: 38%, black: 23%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 a6 6. g3 Bg4 7. Bg2 c6 
games: 740, white: 35%, black: 20%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. Ne5
games: 256, white: 35%, black: 20%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 g6 6. Nb5
