games: 74, white: 55%, black: 10%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Be7 5. Nf3 Nd7 6. Bd3 Ngf6 7. Qe2 O-O 
games: 37, white: 54%, black: 21%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Qd5 5. Bd3 Nf6 6. Nxf6+
games: 11, white: 54%, black: 18%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nf6 5. Bd3 Be7 6. Nf3 O-O 
games: 11, white: 54%, black: 18%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Be7 5. Nf3 Nf6 6. Bd3 O-O 
games: 37, white: 54%, black: 21%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Qd5 5. Bd3 Nf6 6. Nxf6+ gxf6 
games: 11, white: 54%, black: 9%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 c5 7. O-O Nxe4 8. Bxe4 Nf6 9. Bg5 Be7 10. Bxf6
games: 11, white: 54%, black: 9%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Nxe4 7. Bxe4 Nf6 8. Bg5 c5 9. O-O Be7 10. Bxf6
games: 11, white: 54%, black: 9%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bd3 Nxe4 7. Bxe4 c5 8. O-O Nf6 9. Bg5 Be7 10. Bxf6
games: 11, white: 54%, black: 9%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Bd3 Ngf6 6. Nf3 c5 7. O-O Nxe4 8. Bxe4 Nf6 9. Bg5 Be7 10. Bxf6
games: 11, white: 54%, black: 9%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Bd3 Ngf6 6. Nf3 Nxe4 7. Bxe4 Nf6 8. Bg5 c5 9. O-O Be7 10. Bxf6
games: 11, white: 54%, black: 9%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Bd3 Ngf6 6. Nf3 Nxe4 7. Bxe4 c5 8. O-O Nf6 9. Bg5 Be7 10. Bxf6
games: 24, white: 54%, black: 8%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Ng3 Nd7 7. Bd3 Ngf6 8. O-O Be7 9. Qe2 O-O 10. Rd1
games: 13, white: 53%, black: 15%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Bd3 Bxe4 7. Bxe4 c6 8. Qe2
games: 13, white: 53%, black: 15%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bd7 5. Bd3 Bc6 6. Nf3 Bxe4 7. Bxe4 c6 8. Qe2
games: 30, white: 53%, black: 13%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Ng3 Nd7 7. Bd3 Ngf6 8. O-O Bd6 
games: 26, white: 53%, black: 23%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Ng3 Nd7 7. Bd3 Ngf6 8. O-O Bxf3 9. Qxf3 c6 10. b3
games: 46, white: 52%, black: 21%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Qd5 5. Bd3 Nf6 
games: 34, white: 52%, black: 20%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Qd5 5. Bd3 Nf6 6. Nxf6+ gxf6 7. Nf3
games: 17, white: 52%, black: 17%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Nxf6+ Nxf6 7. Bd3 Bd6 
games: 19, white: 52%, black: 10%, pgn:1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Nxf6+ Nxf6 7. c3 Bd6 8. Bd3
