games: 82, white: 50%, black: 13%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. Bc4 e6 7. cxd4 d6 8. Qe2 Be7 9. O-O Nb6 10. Bb3, forced: 1
games: 558, white: 34%, black: 23%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nb6 6. Bb3 c4 7. Bc2 Qc7 , forced: 2
games: 533, white: 35%, black: 24%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 c4 7. Be2 Na5 8. Nbd2 Bd7 , forced: 0
games: 111, white: 52%, black: 27%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Bd7 6. Be2 f6 7. O-O Qc7 , forced: 0
games: 231, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. d4 cxd4 7. cxd4 d6 8. O-O Nb6 9. Bd3, forced: 1
games: 231, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. d4 d6 7. O-O cxd4 8. cxd4 Nb6 9. Bd3, forced: 1
games: 231, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 6. O-O d6 7. d4 cxd4 8. cxd4 Nb6 9. Bd3, forced: 1
games: 90, white: 51%, black: 21%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d6 4. d4 Nf6 , forced: 0
games: 231, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. cxd4 d6 7. Bc4 e6 8. O-O Nb6 9. Bd3, forced: 1
games: 501, white: 36%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4, forced: 0
games: 231, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. Bc4 e6 7. cxd4 d6 8. O-O Nb6 9. Bd3, forced: 1
games: 2155, white: 28%, black: 19%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4, forced: 1
games: 815, white: 36%, black: 27%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Nf6 6. Be3 cxd4 7. cxd4 e6 , forced: 1
games: 815, white: 36%, black: 27%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 e6 6. Be3 cxd4 7. cxd4 Nf6 , forced: 1
games: 197, white: 40%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 Nh6 7. b4 cxd4 8. Bxh6 gxh6 9. cxd4, forced: 1
games: 1533, white: 33%, black: 24%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Bd7 6. Be2 Nge7 , forced: 0
games: 196, white: 40%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 Nh6 7. b4 cxd4 8. Bxh6, forced: 1
games: 203, white: 38%, black: 23%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nge7 6. Na3 cxd4 , forced: 1
games: 1094, white: 35%, black: 26%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Bg4 , forced: 1
games: 253, white: 37%, black: 23%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nge7 6. Na3 cxd4 7. cxd4 Nf5 8. Nc2, forced: 2
games: 95, white: 49%, black: 24%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 cxd4 6. cxd4 e6 7. a3, forced: 1
games: 77, white: 45%, black: 12%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nb6 6. Bb3 c4 7. Bc2 Qc7 8. O-O, forced: 2
games: 414, white: 36%, black: 26%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Nf6 6. Be3 cxd4 7. cxd4 e6 8. Nc3 Qd6 9. a3, forced: 1
games: 486, white: 34%, black: 24%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 c4 7. Be2 Na5 8. Nbd2 Bd7 9. O-O, forced: 0
games: 414, white: 36%, black: 26%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 e6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3 Qd6 9. a3, forced: 1
games: 5371, white: 36%, black: 29%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 , forced: 0
games: 414, white: 36%, black: 26%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4, forced: 0
games: 104, white: 43%, black: 20%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Qb6 6. a3 c4 7. Nbd2 f6 8. Be2, forced: 0
