games: 725, white: 39%, black: 15%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Ng3 Nd7 7. Bd3 Ngf6 8. O-O, forced: 2
games: 158, white: 44%, black: 14%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Bd3 Bxe4 7. Bxe4, forced: 3
games: 158, white: 44%, black: 14%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Bd3 Bc6 6. Nf3 Bxe4 , forced: 1
games: 158, white: 44%, black: 14%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Bd3 Bc6 6. Nf3 Bxe4 7. Bxe4, forced: 2
games: 158, white: 44%, black: 14%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Bd3 Bxe4 7. Bxe4 c6 , forced: 3
games: 136, white: 50%, black: 19%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Qd5 , forced: 0
games: 158, white: 44%, black: 14%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Bd3 Bc6 6. Nf3 Bxe4 7. Bxe4 c6 , forced: 2
games: 158, white: 41%, black: 11%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Ng3 Nd7 7. Bd3 Ngf6 8. O-O Be7 9. Qe2, forced: 2
games: 8435, white: 37%, black: 14%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4, forced: 0
games: 106, white: 50%, black: 17%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Qd5 5. Nc3 Bb4 , forced: 0
games: 216, white: 45%, black: 18%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bd3 Be7 6. Nf3, forced: 0
games: 80, white: 50%, black: 15%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Qd5 5. Nc3, forced: 0
games: 230, white: 32%, black: 5%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Nxf6+ Nxf6 7. Bd3 c5 8. Be3, forced: 0
games: 216, white: 45%, black: 18%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Nf3 Nf6 6. Bd3, forced: 0
