games: 558, white: 35%, black: 19%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 c5 6. c4 Be7 7. O-O O-O 8. e3, forced: 1
games: 1169, white: 33%, black: 19%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 c5 4. c4 b6 5. g3 Bb7 6. Bg2 Be7 7. O-O O-O 8. e3 d5 , forced: 2
games: 558, white: 35%, black: 19%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 c5 4. c4 b6 5. g3 Bb7 6. Bg2 Be7 7. O-O O-O 8. e3, forced: 2
games: 110, white: 50%, black: 16%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Bd6 5. e3 Nbd7 6. Nc3 O-O 7. Qc2 c6 8. Rg1, forced: 0
games: 1169, white: 33%, black: 19%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 c5 4. g3 b6 5. Bg2 Bb7 6. c4 Be7 7. O-O O-O 8. e3 d5 , forced: 1
games: 558, white: 35%, black: 19%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 c5 4. g3 b6 5. Bg2 Bb7 6. c4 Be7 7. O-O O-O 8. e3, forced: 1
games: 724, white: 21%, black: 6%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. e3 Bd6 6. d4 O-O 7. Bd3 Nbd7 8. O-O, forced: 0
games: 125, white: 45%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O Nbd7 8. Qc2, forced: 0
games: 104, white: 47%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O Nbd7 8. Qc2 Re8 , forced: 0
games: 125, white: 45%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. O-O Nbd7 7. c4 c6 8. Qc2, forced: 1
games: 104, white: 47%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. O-O Nbd7 7. c4 c6 8. Qc2 Re8 , forced: 1
games: 647, white: 22%, black: 7%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. e3 Bd6 6. d4 O-O 7. Bd3 Nbd7 8. Nbd2, forced: 0
games: 125, white: 45%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O Nbd7 8. Qc2, forced: 0
games: 104, white: 47%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O Nbd7 8. Qc2 Re8 , forced: 0
games: 125, white: 45%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. O-O Nbd7 7. c4 c6 8. Qc2, forced: 1
games: 144, white: 44%, black: 17%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 , forced: 0
games: 104, white: 47%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. O-O Nbd7 7. c4 c6 8. Qc2 Re8 , forced: 1
games: 1041, white: 19%, black: 6%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. e3 Bd6 6. d4 O-O 7. Bd3 Nbd7 , forced: 0
games: 181, white: 35%, black: 13%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. g3 Be7 5. Bg2 O-O 6. c4 c6 7. O-O Nbd7 8. d4 b6 , forced: 0
games: 181, white: 35%, black: 13%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. g3 O-O 6. Bg2 c6 7. O-O Nbd7 8. d4 b6 , forced: 1
games: 181, white: 35%, black: 13%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. g3 Be7 6. Bg2 O-O 7. O-O Nbd7 8. d4 b6 , forced: 1
games: 236, white: 41%, black: 23%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 Nbd7 7. O-O c6 , forced: 0
games: 236, white: 41%, black: 23%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 c6 7. O-O Nbd7 , forced: 0
games: 431, white: 36%, black: 21%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3, forced: 0
games: 1386, white: 33%, black: 21%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7 6. c4 O-O 7. O-O d5 8. e3, forced: 1
games: 94, white: 52%, black: 18%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 c5 7. c4 Nc6 , forced: 0
games: 94, white: 52%, black: 18%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. c4 c5 7. d4 Nc6 , forced: 0
games: 133, white: 40%, black: 14%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. g3 c5 5. Bg2 Be7 6. O-O O-O 7. c4 b6 , forced: 0
games: 89, white: 55%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 c5 7. O-O Nbd7 8. c4, forced: 0
games: 94, white: 52%, black: 18%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 c5 6. c4 d6 7. d4 Nc6 , forced: 0
games: 94, white: 52%, black: 18%, pgn:1. b3 Nf6 2. Bb2 g6 3. c4 Bg7 4. g3 c5 5. Bg2 O-O 6. Nf3 d6 7. d4 Nc6 , forced: 1
games: 190, white: 36%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O Bg4 8. d3 Bxf3 , forced: 0
games: 190, white: 36%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O Bg4 8. d3 Bxf3 , forced: 0
games: 2148, white: 32%, black: 21%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7 6. c4 O-O 7. O-O d5 , forced: 1
games: 888, white: 33%, black: 21%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. g3 Be7 5. Bg2 O-O 6. c4, forced: 0
games: 97, white: 47%, black: 15%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. d3, forced: 0
games: 888, white: 33%, black: 21%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. g3 O-O 6. Bg2, forced: 1
games: 97, white: 47%, black: 15%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. d3, forced: 0
games: 159, white: 38%, black: 16%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. g3 Be7 5. Bg2 O-O 6. c4 c6 7. O-O Nbd7 8. d4, forced: 0
games: 159, white: 38%, black: 16%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. g3 O-O 6. Bg2 c6 7. O-O Nbd7 8. d4, forced: 1
games: 825, white: 34%, black: 22%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 , forced: 0
games: 159, white: 38%, black: 16%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. g3 Be7 6. Bg2 O-O 7. O-O Nbd7 8. d4, forced: 1
games: 146, white: 42%, black: 19%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. g3 Be7 5. Bg2, forced: 0
games: 1335, white: 31%, black: 20%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7 6. c4 c5 7. O-O O-O , forced: 1
games: 1335, white: 31%, black: 20%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 c5 6. c4 Be7 7. O-O O-O , forced: 1
games: 168, white: 39%, black: 18%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. g3, forced: 0
games: 1335, white: 31%, black: 20%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 c5 4. c4 b6 5. g3 Bb7 6. Bg2 Be7 7. O-O O-O , forced: 2
games: 84, white: 53%, black: 16%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. e3 c5 , forced: 0
games: 182, white: 35%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O Bg4 8. d3 Nbd7 , forced: 0
games: 1335, white: 31%, black: 20%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 c5 4. g3 b6 5. Bg2 Bb7 6. c4 Be7 7. O-O O-O , forced: 1
games: 1273, white: 34%, black: 23%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4, forced: 0
games: 182, white: 35%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O Bg4 8. d3 Nbd7 , forced: 0
games: 363, white: 33%, black: 19%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. g3 c5 5. Bg2 Be7 6. O-O O-O 7. c4 Nc6 8. cxd5, forced: 0
games: 160, white: 38%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O Nbd7 8. d4 Ne4 , forced: 0
games: 77, white: 59%, black: 15%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 c5 7. O-O Nbd7 , forced: 0
games: 160, white: 38%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. O-O Nbd7 7. c4 c6 8. d4 Ne4 , forced: 1
games: 150, white: 46%, black: 25%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. e3 O-O 6. Nc3 b6 7. cxd5, forced: 0
games: 160, white: 38%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O Nbd7 8. d4 Ne4 , forced: 0
games: 160, white: 38%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. O-O Nbd7 7. c4 c6 8. d4 Ne4 , forced: 1
games: 135, white: 34%, black: 11%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. e3 Bd6 6. d4 O-O 7. Bd3 Nbd7 8. O-O Ne4 , forced: 0
games: 73, white: 52%, black: 8%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. e3 Bd6 6. d4 O-O 7. Bd3 Nbd7 8. Nbd2 Qe7 , forced: 0
games: 89, white: 49%, black: 17%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. g3 Be7 6. Bg2, forced: 1
