games: 63, white: 36%, black: 22%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Nxc6 bxc6 10. Na4
games: 183, white: 35%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O h5 
games: 431, white: 34%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. Qd2 Rb8 
games: 183, white: 35%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O h5 
games: 216, white: 31%, black: 29%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 Nd4 9. O-O O-O 10. Bf2
games: 300, white: 31%, black: 29%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2
games: 216, white: 31%, black: 29%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 8. Nf3 O-O 9. O-O Nd4 10. Bf2
games: 112, white: 36%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. a4 Be7 10. Nb3
games: 112, white: 36%, black: 32%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 5. Nge2 Nf6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. a4 Be7 10. Nb3
games: 215, white: 33%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 7. f4 Nge7 
games: 63, white: 36%, black: 28%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. O-O
games: 87, white: 32%, black: 28%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 a6 6. d4 cxd4 7. Nxd4 Qc7 8. O-O d6 9. Nxc6 bxc6 
