games: 20, white: 40%, black: 30%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 Bg4 7. Be2, forced: 1
games: 13, white: 46%, black: 23%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h6 6. Be2, forced: 1
games: 14, white: 50%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 Bg7 6. h5 Nxh5 7. Rxh5 gxh5 8. Qxh5, forced: 6
games: 14, white: 50%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c6 6. h5 Nxh5 7. Rxh5 gxh5 8. Qxh5 Nd7 , forced: 6
games: 86, white: 26%, black: 33%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 O-O , forced: 1
games: 104, white: 30%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 , forced: 1
games: 14, white: 50%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 Bg7 6. h5 Nxh5 7. Rxh5 gxh5 8. Qxh5 Nd7 , forced: 6
games: 18, white: 44%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 O-O 7. Be2 c5 8. Ne5, forced: 2
games: 29, white: 17%, black: 17%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 O-O 7. Qd2 c5 8. Ne5, forced: 1
games: 19, white: 36%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Be2, forced: 1
games: 19, white: 42%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 Bg4 7. Qd2, forced: 1
games: 26, white: 38%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 c6 5. f3, forced: 0
games: 24, white: 25%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 O-O 7. Qd2, forced: 1
games: 12, white: 41%, black: 33%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 O-O 7. Be2 c5 8. Ne5 Nc6 , forced: 2
games: 29, white: 27%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 c6 , forced: 0
games: 19, white: 31%, black: 47%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nb5 Na6 , forced: 2
games: 19, white: 21%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 O-O 7. Qd2 c5 , forced: 1
games: 18, white: 33%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nb5, forced: 2
games: 11, white: 45%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 a6 5. h4, forced: 1
games: 18, white: 33%, black: 44%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 a6 , forced: 1
games: 11, white: 36%, black: 27%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h3, forced: 2
games: 14, white: 35%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 h5 , forced: 1
games: 14, white: 35%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h3 Bg7 , forced: 3
games: 14, white: 21%, black: 42%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 O-O 6. h5 c5 7. hxg6 hxg6 , forced: 4
games: 14, white: 28%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 Bg4 7. Qd2 Bxf3 , forced: 2
games: 14, white: 28%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 h5 6. Nf3 Bg4 7. Qd2 Bxf3 8. gxf3, forced: 2
