white: 46%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nd7 5. Bf4 e5 6. Bg3
white: 44%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nf6 5. Bd3 Bg4 6. Nbd2
white: 48%, black: 51%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 e5 5. Be2 Be7 6. O-O
white: 42%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Be3
white: 42%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 
white: 34%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. dxc5 d5 
white: 47%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Be3 Ngf6 
white: 43%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. Nf3
white: 42%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bd3
white: 43%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. cxd4
white: 43%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Qxd4
white: 42%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 d3 5. Qxd3
white: 45%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 g6 5. Bd3
white: 45%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 Nc6 5. Be3
white: 42%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 cxd4 5. Nf3
white: 44%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. d5
white: 33%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. dxc5 d5 5. exd5
white: 44%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. f4 cxd4 5. cxd4
white: 43%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. f4 Bg7 
white: 42%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Qxd4 a6 
white: 44%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 Nc6 
white: 46%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 a6 
white: 44%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 Nc6 5. Ne2 e6 
white: 31%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. dxc5 d5 5. exd5 Qxd5 
white: 50%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 e6 5. Be2 b6 
white: 43%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 a6 5. Be3 b6 
white: 50%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Bd3 Ngf6 5. f4 g6 
white: 50%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Bd3 Ngf6 5. f4 e6 
white: 33%, black: 50%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Bd3 e6 5. f4 a6 
