games: 5798, white: 44%, black: 48%, pgn:1. b3 Nf6 2. Bb2 g6 3. e4 d6 
games: 380725, white: 48%, black: 44%, pgn:1. b3 e5 
games: 370656, white: 48%, black: 44%, pgn:1. b3 e5 2. Bb2
games: 344527, white: 48%, black: 44%, pgn:1. b3 d5 
games: 24544, white: 47%, black: 45%, pgn:1. b3 c5 2. e4 e6 
games: 326179, white: 48%, black: 44%, pgn:1. b3 d5 2. Bb2
games: 4312, white: 44%, black: 49%, pgn:1. b3 e5 2. Bb2 d6 3. Nf3 f5 
games: 4312, white: 44%, black: 49%, pgn:1. b3 e5 2. Nf3 d6 3. Bb2 f5 
games: 51080, white: 47%, black: 44%, pgn:1. b3 c5 2. Bb2 Nc6 
games: 5063, white: 44%, black: 48%, pgn:1. b3 Nf6 2. g3 g6 3. Bg2
games: 10237, white: 46%, black: 46%, pgn:1. b3 d5 2. e3 c5 
games: 10237, white: 46%, black: 46%, pgn:1. b3 c5 2. e3 d5 
games: 93417, white: 48%, black: 44%, pgn:1. b3 c5 
games: 11618, white: 45%, black: 45%, pgn:1. b3 d5 2. Bb2 Bf5 3. Nf3 e6 
games: 88793, white: 48%, black: 44%, pgn:1. b3 c5 2. Bb2
games: 2735, white: 42%, black: 51%, pgn:1. b3 c5 2. Nf3 d6 3. e4 e5 
games: 98676, white: 48%, black: 44%, pgn:1. b3 c5 2. Nf3 e6 3. e4
games: 2735, white: 42%, black: 51%, pgn:1. b3 c5 2. e4 d6 3. Nf3 e5 
games: 98676, white: 48%, black: 44%, pgn:1. b3 c5 2. e4 e6 3. Nf3
games: 21758, white: 47%, black: 45%, pgn:1. b3 c5 2. Bb2 e6 3. e4
games: 98676, white: 48%, black: 44%, pgn:1. b3 e6 2. Nf3 c5 3. e4
games: 21758, white: 47%, black: 45%, pgn:1. b3 c5 2. e4 e6 3. Bb2
games: 5260, white: 45%, black: 48%, pgn:1. b3 e5 2. Bb2 Nc6 3. g3 Nf6 
games: 21758, white: 47%, black: 45%, pgn:1. b3 e6 2. Bb2 c5 3. e4
games: 5260, white: 45%, black: 48%, pgn:1. b3 e5 2. g3 Nc6 3. Bb2 Nf6 
games: 5260, white: 45%, black: 48%, pgn:1. b3 e5 2. g3 Nf6 3. Bb2 Nc6 
games: 5260, white: 45%, black: 48%, pgn:1. b3 Nf6 2. g3 e5 3. Bb2 Nc6 
games: 24625, white: 46%, black: 44%, pgn:1. b3 d5 2. Bb2 Bf5 3. Nf3 Nf6 
games: 9445, white: 46%, black: 46%, pgn:1. b3 c5 2. Nf3 Nc6 3. e4 d6 
games: 61687, white: 48%, black: 44%, pgn:1. b3 d5 2. Bb2 c6 
games: 24625, white: 46%, black: 44%, pgn:1. b3 d5 2. Nf3 Nf6 3. Bb2 Bf5 
games: 12103, white: 46%, black: 45%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3
games: 9445, white: 46%, black: 46%, pgn:1. b3 c5 2. Nf3 d6 3. e4 Nc6 
games: 24625, white: 46%, black: 44%, pgn:1. b3 Nf6 2. Bb2 d5 3. Nf3 Bf5 
games: 12103, white: 46%, black: 45%, pgn:1. b3 Nf6 2. g3 g6 3. Bb2
games: 9445, white: 46%, black: 46%, pgn:1. b3 c5 2. e4 Nc6 3. Nf3 d6 
games: 24625, white: 46%, black: 44%, pgn:1. b3 Nf6 2. Nf3 d5 3. Bb2 Bf5 
games: 4242, white: 44%, black: 48%, pgn:1. b3 e5 2. g3 d5 3. Bg2 Nf6 
games: 4662, white: 45%, black: 48%, pgn:1. b3 c5 2. e3 Nc6 
games: 9445, white: 46%, black: 46%, pgn:1. b3 c5 2. e4 d6 3. Nf3 Nc6 
games: 4242, white: 44%, black: 48%, pgn:1. b3 e5 2. g3 Nf6 3. Bg2 d5 
games: 4242, white: 44%, black: 48%, pgn:1. b3 d5 2. g3 Nf6 3. Bg2 e5 
games: 51313, white: 48%, black: 44%, pgn:1. b3 c5 2. e4 Nc6 
games: 4242, white: 44%, black: 48%, pgn:1. b3 d5 2. g3 e5 3. Bg2 Nf6 
games: 11950, white: 46%, black: 45%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 
games: 4242, white: 44%, black: 48%, pgn:1. b3 Nf6 2. g3 d5 3. Bg2 e5 
games: 4242, white: 44%, black: 48%, pgn:1. b3 Nf6 2. g3 e5 3. Bg2 d5 
games: 11950, white: 46%, black: 45%, pgn:1. b3 Nf6 2. g3 g6 3. Bb2 Bg7 
games: 8330, white: 46%, black: 46%, pgn:1. b3 e5 2. c4 Nf6 
games: 51339, white: 48%, black: 44%, pgn:1. b3 c5 2. e4 Nc6 3. Bb2
games: 2599, white: 43%, black: 50%, pgn:1. b3 d5 2. e3 Bf5 
games: 2075, white: 41%, black: 52%, pgn:1. b3 c5 2. e4 Nc6 3. Nc3 g6 
games: 11370, white: 46%, black: 45%, pgn:1. b3 Nf6 2. Bb2 c5 3. e3 Nc6 
games: 4687, white: 44%, black: 47%, pgn:1. b3 d5 2. f4 Nf6 
games: 10619, white: 46%, black: 45%, pgn:1. b3 Nf6 2. Bb2 c5 3. e3
games: 11370, white: 46%, black: 45%, pgn:1. b3 c5 2. Bb2 Nc6 3. e3 Nf6 
games: 8008, white: 46%, black: 46%, pgn:1. b3 e5 2. c4 Nf6 3. Bb2
games: 11370, white: 46%, black: 45%, pgn:1. b3 c5 2. Bb2 Nf6 3. e3 Nc6 
games: 10619, white: 46%, black: 45%, pgn:1. b3 c5 2. Bb2 Nf6 3. e3
games: 10619, white: 46%, black: 45%, pgn:1. b3 c5 2. e3 Nf6 3. Bb2
games: 11370, white: 46%, black: 45%, pgn:1. b3 c5 2. e3 Nc6 3. Bb2 Nf6 
games: 2703, white: 42%, black: 49%, pgn:1. b3 d5 2. f4 Nf6 3. Bb2 g6 
games: 11370, white: 46%, black: 45%, pgn:1. b3 c5 2. e3 Nf6 3. Bb2 Nc6 
games: 2703, white: 42%, black: 49%, pgn:1. b3 d5 2. f4 g6 3. Bb2 Nf6 
games: 2703, white: 42%, black: 49%, pgn:1. b3 Nf6 2. Bb2 d5 3. f4 g6 
games: 15704, white: 47%, black: 45%, pgn:1. b3 c5 2. Bb2 e6 3. e4 Nc6 
games: 12566, white: 47%, black: 45%, pgn:1. b3 Nf6 2. Bb2 g6 3. e4
games: 8196, white: 46%, black: 46%, pgn:1. b3 c5 2. e4 Nc6 3. Bb2 Nf6 
games: 16489, white: 46%, black: 44%, pgn:1. b3 d5 2. Bb2 Bf5 3. Nf3
games: 7021, white: 46%, black: 46%, pgn:1. b3 e5 2. c4 Nc6 
games: 2983, white: 44%, black: 49%, pgn:1. b3 c5 2. Bb2 e6 3. e4 a6 
games: 15704, white: 47%, black: 45%, pgn:1. b3 c5 2. e4 Nc6 3. Bb2 e6 
games: 2983, white: 44%, black: 49%, pgn:1. b3 c5 2. e4 e6 3. Bb2 a6 
games: 15704, white: 47%, black: 45%, pgn:1. b3 c5 2. e4 e6 3. Bb2 Nc6 
games: 3579, white: 44%, black: 48%, pgn:1. b3 c5 2. e4 Nf6 3. Nc3
games: 9343, white: 46%, black: 45%, pgn:1. b3 e5 2. Bb2 Nc6 3. Nf3 e4 
games: 1466579, white: 48%, black: 43%, pgn:1. b3
games: 2983, white: 44%, black: 49%, pgn:1. b3 e6 2. Bb2 c5 3. e4 a6 
games: 15704, white: 47%, black: 45%, pgn:1. b3 e6 2. Bb2 c5 3. e4 Nc6 
games: 8621, white: 47%, black: 46%, pgn:1. b3 d5 2. Bb2 Bg4 3. f3
games: 123954, white: 48%, black: 43%, pgn:1. b3 Nf6 2. Bb2 d5 
games: 1695, white: 42%, black: 52%, pgn:1. b3 e5 2. g3 d5 3. Bg2 Nc6 
games: 7229, white: 46%, black: 46%, pgn:1. b3 c5 2. Nf3 Nc6 3. e4 e5 
games: 1695, white: 42%, black: 52%, pgn:1. b3 e5 2. g3 Nc6 3. Bg2 d5 
games: 1695, white: 42%, black: 52%, pgn:1. b3 d5 2. g3 e5 3. Bg2 Nc6 
games: 7229, white: 46%, black: 46%, pgn:1. b3 c5 2. e4 Nc6 3. Nf3 e5 
games: 2639, white: 44%, black: 49%, pgn:1. b3 d5 2. g3
games: 2425, white: 42%, black: 48%, pgn:1. b3 c5 2. Bb2 Nc6 3. e3 a6 
games: 10158, white: 47%, black: 45%, pgn:1. b3 d5 2. g3 Nf6 3. Bg2
games: 2425, white: 42%, black: 48%, pgn:1. b3 c5 2. e3 Nc6 3. Bb2 a6 
games: 3239, white: 43%, black: 47%, pgn:1. b3 c5 2. Nf3 Nc6 3. c4 e5 
games: 10158, white: 47%, black: 45%, pgn:1. b3 Nf6 2. g3 d5 3. Bg2
games: 10128, white: 47%, black: 45%, pgn:1. b3 c5 2. e4 Nf6 3. e5
games: 11636, white: 46%, black: 44%, pgn:1. b3 Nf6 2. e3 g6 3. Nf3
games: 11636, white: 46%, black: 44%, pgn:1. b3 Nf6 2. Nf3 g6 3. e3
games: 6886, white: 47%, black: 46%, pgn:1. b3 e6 2. e3
games: 3483, white: 44%, black: 47%, pgn:1. b3 Nf6 2. Bb2 c5 3. e3 g6 
games: 2310, white: 44%, black: 49%, pgn:1. b3 c5 2. e4 e6 3. Nc3
