games: 16169, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6 5. Bc4 Nf6 6. Nf3 Bf5 
games: 709, white: 36%, black: 51%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. Nge2 a6 6. d4
games: 1637, white: 45%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. h3
games: 16169, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6 5. Bc4 Bf5 6. Nf3 Nf6 
games: 1637, white: 45%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. Bc4
games: 16169, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. d4 c6 6. Bc4 Bf5 
games: 16169, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. d4 Nf6 6. Bc4 Bf5 
games: 8306, white: 46%, black: 44%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6 5. Bc4 Bf5 6. Nf3 e6 
games: 16169, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. d4 c6 6. Nf3 Bf5 
games: 16169, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. d4 Bf5 6. Nf3 c6 
games: 16169, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 c6 5. d4 Nf6 6. Nf3 Bf5 
games: 7748, white: 46%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6 5. Bc4 Bf5 6. Nf3
games: 16169, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 c6 5. d4 Bf5 6. Nf3 Nf6 
games: 7748, white: 46%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 c6 5. d4 Bf5 6. Nf3
games: 8306, white: 46%, black: 44%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Bf5 5. Bc4 e6 6. d4 c6 
games: 7748, white: 46%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Bf5 5. d4 c6 6. Nf3
games: 16169, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Bf5 5. d4 Nf6 6. Nf3 c6 
games: 8306, white: 46%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Bf5 5. d4 e6 6. Bc4 c6 
games: 1400, white: 44%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. d3 e6 6. Nf3 Be7 
games: 8306, white: 46%, black: 44%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 c6 5. d4 Bf5 6. Nf3 e6 
games: 16169, white: 47%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Bf5 5. d4 c6 6. Nf3 Nf6 
games: 1549, white: 45%, black: 46%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Bf5 5. Bc4 e6 6. d3 Nf6 
games: 1400, white: 44%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 e6 5. d3 Nf6 6. Nf3 Be7 
games: 8306, white: 46%, black: 44%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Bf5 5. d4 e6 6. Nf3 c6 
games: 1549, white: 45%, black: 46%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Bf5 5. d3 e6 6. Nf3 Nf6 
games: 8306, white: 46%, black: 44%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Bf5 5. d4 c6 6. Nf3 e6 
games: 663, white: 36%, black: 50%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. Nge2 a6 6. d4 b5 
games: 1912, white: 44%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. Nf3 Bg4 6. Be3
games: 1241, white: 45%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 e6 5. Be3 Nf6 6. Nf3
games: 1912, white: 44%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. d4 Bg4 6. Be3
games: 906, white: 44%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. Bf4 c6 6. Bc4
games: 906, white: 44%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6 5. Bf4 Nf6 6. Bc4
games: 3106, white: 44%, black: 43%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. Nf3 c6 6. h3 Bf5 
games: 3106, white: 44%, black: 43%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. h3 c6 6. Nf3 Bf5 
games: 3106, white: 44%, black: 43%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6 5. Nf3 Nf6 6. h3 Bf5 
games: 3106, white: 44%, black: 43%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6 5. h3 Nf6 6. Nf3 Bf5 
games: 2843, white: 45%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. h3
games: 3106, white: 44%, black: 43%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. d4 c6 6. h3 Bf5 
games: 2843, white: 45%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. d4
games: 3106, white: 44%, black: 43%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. h3 c6 6. d4 Bf5 
games: 3106, white: 44%, black: 43%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. d4 Nf6 6. h3 Bf5 
games: 1212, white: 44%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. h3 c6 6. Bc4
games: 3106, white: 44%, black: 43%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. h3 Nf6 6. d4 Bf5 
games: 1212, white: 44%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. h3 Nf6 6. Bc4
games: 3106, white: 44%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. h3 Bf5 6. d4 Nf6 
games: 1254, white: 44%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Be2 Bg4 6. O-O e6 
games: 3106, white: 44%, black: 43%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. Nf3 c6 6. d4 Bf5 
games: 1212, white: 44%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. h3 c6 6. Nf3
games: 3106, white: 44%, black: 43%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. d4 c6 6. Nf3 Bf5 
games: 1062, white: 44%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Be2 Bg4 6. O-O
games: 1212, white: 44%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. Nf3 c6 6. Bc4
games: 3106, white: 44%, black: 43%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 c6 5. Nf3 Nf6 6. d4 Bf5 
games: 1212, white: 44%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. Bc4 c6 6. Nf3
games: 3106, white: 44%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 c6 5. Nf3 Bf5 6. d4 Nf6 
games: 1212, white: 44%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 c6 5. Nf3 Nf6 6. Bc4
games: 1212, white: 44%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 c6 5. Bc4 Nf6 6. Nf3
games: 1033, white: 43%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. h3 c6 
games: 1033, white: 43%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6 5. h3 Nf6 
games: 934, white: 43%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Be2 c6 
games: 74098, white: 48%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3
games: 934, white: 43%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. Be2 Nf6 
games: 5356, white: 47%, black: 44%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 c6 5. Qf3 Nf6 6. Ne4 Nbd7 
games: 1033, white: 43%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. d4 c6 
games: 33125, white: 48%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Bc4
games: 3312, white: 45%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. Nf3 c6 6. h3
games: 33125, white: 48%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. Nf3
games: 3312, white: 45%, black: 43%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. h3 c6 6. Nf3
games: 797, white: 44%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. h3 e6 6. Bc4
games: 812, white: 43%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. h3 Bf5 
games: 3312, white: 45%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6 5. Nf3 Nf6 6. h3
games: 797, white: 44%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. Nf3 e6 6. Bc4
games: 812, white: 43%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. Nf3 Bf5 
games: 3312, white: 45%, black: 43%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6 5. h3 Nf6 6. Nf3
games: 3312, white: 45%, black: 43%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. d4 c6 6. h3
