games: 29731, white: 44%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4
games: 800, white: 38%, black: 55%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 Nc6 6. O-O Bg4 
games: 800, white: 38%, black: 55%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. Nf3 Nc6 6. O-O Bg4 
games: 800, white: 38%, black: 55%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nc6 5. Nf3 Nf6 6. O-O Bg4 
games: 18108, white: 44%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4
games: 18108, white: 44%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bc4 Nf6 5. d4
games: 854, white: 40%, black: 54%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4 Bg4 6. Nf3 Nc6 
games: 854, white: 40%, black: 54%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4 Nc6 6. Nf3 Bg4 
games: 854, white: 40%, black: 54%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 Bg4 6. d4 Nc6 
games: 854, white: 40%, black: 54%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 Nc6 6. d4 Bg4 
games: 854, white: 40%, black: 54%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Bg4 5. Bc4 Nf6 6. d4 Nc6 
