games: 376, white: 37%, black: 56%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Qd2 Nc6 7. O-O-O, forced: 3
games: 1023, white: 41%, black: 52%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nf3 cxd4 , forced: 1
games: 339, white: 37%, black: 57%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 Nc6 6. Ne5 cxd4 7. exd4 e6 8. g4, forced: 2
games: 339, white: 37%, black: 57%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 cxd4 6. exd4 Nc6 7. Ne5 e6 8. g4, forced: 2
games: 253, white: 34%, black: 59%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Qd2 Nc6 7. Nf3 Bf5 , forced: 3
games: 339, white: 37%, black: 57%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nf3 Nc6 5. e3 a6 6. Ne5 cxd4 7. exd4 e6 8. g4, forced: 3
games: 931, white: 40%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3, forced: 2
games: 1653, white: 40%, black: 49%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 cxd4 , forced: 2
games: 422, white: 37%, black: 53%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3 Nc6 7. h3 Bf5 8. a3, forced: 3
games: 658, white: 39%, black: 52%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 Nc6 6. Ne5 e6 7. Be2 Bd6 , forced: 1
games: 422, white: 37%, black: 53%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. h3 Nc6 7. Nf3 Bf5 8. a3, forced: 4
games: 422, white: 37%, black: 53%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. h3 Nc6 7. a3 Bf5 8. Nf3, forced: 5
games: 658, white: 39%, black: 52%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 e6 6. Ne5 Nc6 7. Be2 Bd6 , forced: 1
games: 3727, white: 43%, black: 49%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nf3 Nc6 5. e3 Bg4 , forced: 2
games: 658, white: 39%, black: 52%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nf3 Nc6 5. e3 a6 6. Ne5 e6 7. Be2 Bd6 , forced: 2
games: 351, white: 37%, black: 56%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 cxd4 6. Nxd4, forced: 2
