games: 1796, white: 42%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Ngf3 Bd6 6. Bd3 O-O 7. O-O
games: 1658, white: 44%, black: 48%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Ngf3 a6 6. Bd3
games: 1330, white: 44%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ng8 5. Bd3 b6 
games: 2893, white: 46%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. c3 c5 6. Ne2
games: 784, white: 40%, black: 50%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 c5 5. exd5 Qxd5 
games: 2893, white: 46%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. e5 Nfd7 6. Ne2
games: 2792, white: 46%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. c3 c5 6. Ne2 Nc6 
games: 2792, white: 46%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. c3 c5 5. e5 Nfd7 6. Ne2 Nc6 
games: 9717, white: 47%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Ndf3 c5 6. Ne2
games: 8597, white: 47%, black: 46%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 c5 5. e5
games: 977, white: 42%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ng8 5. Bd3 b6 6. c3 Qd7 
games: 891, white: 42%, black: 50%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Ngf3 c5 6. c3 Nc6 7. Bd3
games: 977, white: 42%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ng8 5. Bd3 Qd7 6. c3 b6 
games: 977, white: 42%, black: 49%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ng8 5. c3 Qd7 6. Bd3 b6 
games: 891, white: 42%, black: 50%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. c3 c5 6. Ngf3 Nc6 7. Bd3
games: 1619, white: 44%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ng8 5. f4
games: 1832, white: 45%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Ngf3 a6 6. Bd3 c5 
games: 14603, white: 47%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Ne4 
games: 1119, white: 41%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Ngf3 Bd6 6. Bd3 O-O 
games: 1485, white: 44%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. Bd3 c5 5. exd5 exd5 6. Ngf3
games: 27945, white: 48%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. c3 c5 6. Ngf3 Nc6 
games: 1485, white: 44%, black: 47%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5 exd5 5. Ngf3 c5 6. Bd3
games: 3641, white: 44%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. exd5
games: 27945, white: 48%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Ngf3 c5 6. c3 Nc6 
