games: 1233, white: 46%, black: 48%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Nh3 Rc8 10. Kb1
games: 369, white: 43%, black: 50%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O Rc8 9. h5 c5 
games: 1233, white: 46%, black: 48%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Kb1 Rc8 10. Nh3
games: 683, white: 44%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. Nh3 Nd7 
games: 1233, white: 46%, black: 48%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O Rc8 9. Kb1 h5 10. Nh3
games: 211, white: 40%, black: 54%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. O-O-O Nd7 9. Nge2 Rc8 
games: 211, white: 40%, black: 54%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Nge2 Rc8 
games: 482, white: 44%, black: 49%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. Nh3
games: 956, white: 46%, black: 48%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. O-O-O
games: 905, white: 46%, black: 48%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O Rc8 9. Kb1 h6 
games: 459, white: 44%, black: 49%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. O-O-O e6 9. g4 Nd7 
games: 459, white: 44%, black: 49%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. O-O-O e6 
games: 506, white: 46%, black: 49%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. O-O-O e6 9. g4 Nd7 10. Kb1 Ne7 
games: 506, white: 46%, black: 49%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. O-O-O e6 10. Kb1 Ne7 
games: 459, white: 44%, black: 49%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. O-O-O e6 
games: 803, white: 46%, black: 48%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. h5 g5 9. O-O-O Nd7 
games: 506, white: 46%, black: 49%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. O-O-O e6 10. Kb1 Ne7 
games: 491, white: 46%, black: 49%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. O-O-O Ngf6 
games: 607, white: 46%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. Nh3 Nd7 9. O-O-O Rc8 
games: 491, white: 46%, black: 49%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O Ngf6 9. g4 h6 
games: 491, white: 46%, black: 49%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. O-O-O Ngf6 
games: 7243, white: 47%, black: 47%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O
games: 504, white: 46%, black: 48%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. Nh3 Nd7 9. O-O-O Rc8 10. Kb1 c5 11. dxc5
games: 504, white: 46%, black: 48%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. O-O-O Nd7 9. Nh3 Rc8 10. Kb1 c5 11. dxc5
games: 245, white: 42%, black: 50%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. Nge2 c5 
games: 504, white: 46%, black: 48%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. O-O-O Nd7 9. Kb1 Rc8 10. Nh3 c5 11. dxc5
games: 245, white: 42%, black: 50%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. Nge2 c5 
games: 504, white: 46%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. Nh3 h5 9. O-O-O Rc8 10. Kb1 c5 11. dxc5
games: 504, white: 46%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Nh3 Rc8 10. Kb1 c5 11. dxc5
games: 504, white: 46%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Kb1 Rc8 10. Nh3 c5 11. dxc5
games: 504, white: 46%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O Rc8 9. Kb1 h5 10. Nh3 c5 11. dxc5
games: 330, white: 45%, black: 49%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O c5 
games: 423, white: 46%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. O-O-O c5 
games: 318, white: 44%, black: 48%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O Rc8 9. h5
games: 423, white: 46%, black: 48%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. O-O-O c5 
games: 165, white: 39%, black: 50%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. Nh3 Nd7 9. O-O-O Rc8 10. g4 c5 11. dxc5
games: 523, white: 46%, black: 47%, forced: 3, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. Nh3 Nd7 9. O-O-O Rc8 10. Kb1 c5 11. dxc5 Nxc5 
games: 165, white: 39%, black: 50%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. Nh3 Rc8 10. O-O-O c5 11. dxc5
games: 165, white: 39%, black: 50%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. Nh3 c5 10. O-O-O Rc8 11. dxc5
games: 523, white: 46%, black: 47%, forced: 3, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. O-O-O Nd7 9. Nh3 Rc8 10. Kb1 c5 11. dxc5 Nxc5 
games: 165, white: 39%, black: 50%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. Nh3 Rc8 10. O-O-O c5 11. dxc5
games: 1217, white: 47%, black: 47%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. Nh3 Nd7 9. O-O-O Rc8 10. Kb1 c5 
games: 523, white: 46%, black: 47%, forced: 3, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. O-O-O Nd7 9. Kb1 Rc8 10. Nh3 c5 11. dxc5 Nxc5 
games: 453, white: 47%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. Nh3 Nd7 9. O-O-O Ngf6 10. Kb1
games: 165, white: 39%, black: 50%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. Nh3 c5 10. O-O-O Rc8 11. dxc5
games: 1217, white: 47%, black: 47%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. O-O-O Nd7 9. Nh3 Rc8 10. Kb1 c5 
games: 453, white: 47%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. O-O-O Nd7 9. Nh3 Ngf6 10. Kb1
games: 1217, white: 47%, black: 47%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. O-O-O Nd7 9. Kb1 Rc8 10. Nh3 c5 
games: 453, white: 47%, black: 48%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. O-O-O Nd7 9. Kb1 Ngf6 10. Nh3
games: 523, white: 46%, black: 47%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. Nh3 h5 9. O-O-O Rc8 10. Kb1 c5 11. dxc5 Nxc5 
games: 99, white: 31%, black: 60%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. Nh3 Rc8 
games: 1217, white: 47%, black: 47%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. Nh3 h5 9. O-O-O Rc8 10. Kb1 c5 
games: 453, white: 47%, black: 48%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. Nh3 h5 9. O-O-O Ngf6 10. Kb1
games: 1155, white: 47%, black: 47%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. Nh3 Nd7 9. O-O-O
games: 523, white: 46%, black: 47%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Nh3 Rc8 10. Kb1 c5 11. dxc5 Nxc5 
games: 99, white: 31%, black: 60%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. Nh3 Rc8 
games: 1217, white: 47%, black: 47%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Nh3 Rc8 10. Kb1 c5 
games: 453, white: 47%, black: 48%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Nh3 Ngf6 10. Kb1
games: 453, white: 47%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Kb1 Ngf6 10. Nh3
games: 1217, white: 47%, black: 47%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Kb1 Rc8 10. Nh3 c5 
games: 523, white: 46%, black: 47%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Kb1 Rc8 10. Nh3 c5 11. dxc5 Nxc5 
games: 1217, white: 47%, black: 47%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O Rc8 9. Kb1 h5 10. Nh3 c5 
games: 537, white: 45%, black: 46%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. Nge2
games: 523, white: 46%, black: 47%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O Rc8 9. Kb1 h5 10. Nh3 c5 11. dxc5 Nxc5 
games: 537, white: 45%, black: 46%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. Nge2
games: 100, white: 34%, black: 58%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. Nh3 c5 
games: 407, white: 47%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. O-O-O Nd7 9. Kb1 Ngf6 
games: 100, white: 34%, black: 58%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. Nh3 c5 
games: 407, white: 47%, black: 48%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Kb1 Ngf6 
