games: 3268, white: 46%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 e6 4. f4 c5 5. c3 Nc6 , forced: 1
games: 4796, white: 46%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. a3 Nc6 , forced: 0
games: 3268, white: 46%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 e6 4. c3 c5 5. f4 Nc6 , forced: 1
games: 857467, white: 49%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 , forced: 0
games: 4796, white: 46%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 Nc6 5. a3 e6 , forced: 0
games: 2402, white: 45%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Bd3 Bg7 5. c3, forced: 0
games: 2073, white: 44%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Bd3 h5 , forced: 0
games: 1575, white: 44%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 a6 5. g4, forced: 1
games: 6480, white: 47%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Nf3, forced: 0
games: 786, white: 41%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Bd3 Bg7 5. Nf3 Nh6 , forced: 0
games: 2073, white: 44%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 h5 4. Bd3 g6 , forced: 0
games: 41359, white: 48%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3, forced: 0
games: 2495, white: 46%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bd7 5. Nc3, forced: 0
games: 523, white: 40%, black: 54%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. f4 Nh6 , forced: 1
games: 1681, white: 45%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bd7 5. Nc3 e6 , forced: 0
games: 3725, white: 46%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. Bd3 Bxd3 , forced: 3
games: 681, white: 41%, black: 51%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 a6 5. Nf3 e6 , forced: 2
games: 73605, white: 49%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 e6 , forced: 2
games: 683, white: 42%, black: 51%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. Nf3 Bg4 , forced: 1
games: 3545, white: 46%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Be3 Bf5 , forced: 1
games: 1122, white: 44%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 e6 5. Bd3, forced: 2
games: 1546, white: 44%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. c3 Ne7 , forced: 1
games: 2299, white: 45%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 Bxd3 5. cxd3 e6 , forced: 3
games: 5785, white: 47%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Be3 cxd4 , forced: 2
games: 805, white: 41%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 a6 5. Bd3 Bxd3 , forced: 3
games: 9818, white: 47%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 cxd4 , forced: 0
games: 228347, white: 49%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3, forced: 1
games: 590, white: 41%, black: 51%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c4 Nc6 5. dxc5 e6 , forced: 0
games: 748, white: 41%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. Bd3 Bg7 5. c3 f6 , forced: 0
games: 868, white: 42%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 a6 5. Bd3, forced: 2
games: 217935, white: 49%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 , forced: 1
games: 67329, white: 50%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 e6 5. g4, forced: 3
games: 179365, white: 49%, black: 43%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5, forced: 0
games: 67012, white: 50%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 e6 5. g4 Bg6 , forced: 4
games: 2441, white: 46%, black: 46%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 Bxd3 5. cxd3, forced: 3
games: 8064, white: 47%, black: 44%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 cxd4 5. Nxd4, forced: 1
games: 3873, white: 46%, black: 45%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. Bd3, forced: 2
games: 1079, white: 45%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 e6 5. Be3, forced: 2
