games: 118, white: 49%, black: 44%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. dxc6 Nbxc6 8. Bd3 O-O 
games: 106, white: 47%, black: 44%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Ne7 7. dxc6 Nbxc6 8. O-O
games: 29, white: 27%, black: 72%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bc4 Nf6 8. d3 O-O 
games: 54, white: 44%, black: 50%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 cxd5 7. Bxf4 Bb4 
games: 118, white: 49%, black: 44%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bd3 O-O 8. dxc6 Nbxc6 
games: 54, white: 44%, black: 50%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nf6 8. Be2
games: 474, white: 52%, black: 41%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 cxd5 
games: 118, white: 49%, black: 44%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nge7 8. Bd3 O-O 
games: 42, white: 42%, black: 52%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Nf6 7. d4 cxd5 
games: 73, white: 46%, black: 45%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6
games: 71, white: 43%, black: 42%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 cxd5 7. Bb5+ Nc6 8. Bxf4
games: 27, white: 29%, black: 70%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bc4 Nf6 8. d3
games: 187, white: 51%, black: 42%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Nf6 7. d4
games: 137, white: 49%, black: 41%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bc4 O-O 
games: 45, white: 44%, black: 51%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. dxc6 Nbxc6 8. Be2 O-O 
games: 137, white: 49%, black: 41%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Ne7 7. d4 O-O 
games: 45, white: 44%, black: 51%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nge7 8. Be2 O-O 
games: 227, white: 51%, black: 40%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 cxd5 
games: 56, white: 42%, black: 46%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 cxd5 6. d4 Nc6 
games: 433, white: 53%, black: 40%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 cxd5 6. d4
games: 132, white: 50%, black: 41%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. dxc6 Nbxc6 8. Bd3
games: 132, white: 50%, black: 41%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nge7 8. Bd3
games: 214, white: 55%, black: 42%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 cxd5 
games: 214, white: 55%, black: 42%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 cxd5 6. d4 Bd6 
games: 31, white: 38%, black: 54%, forced: 0, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. d4 cxd5 
games: 79, white: 50%, black: 44%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Nf6 
games: 40, white: 42%, black: 47%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nf6 8. Be2 O-O 9. O-O Bg4 10. h3
games: 836, white: 56%, black: 36%, forced: 0, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 cxd5 
games: 34, white: 41%, black: 50%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nf6 8. Be2 O-O 9. O-O Bg4 10. h3 Bh5 
games: 75, white: 48%, black: 41%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nf6 8. Bd3 O-O 9. O-O
games: 68, white: 47%, black: 42%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 cxd5 6. d4 Nc6 7. Bxf4
games: 120, white: 50%, black: 40%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bd3
games: 50, white: 46%, black: 48%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 Bb4 
games: 27, white: 37%, black: 51%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 cxd5 7. Bxf4 Be7 
games: 601, white: 57%, black: 35%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 cxd5 5. fxe5 d4 
games: 19, white: 31%, black: 63%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 cxd5 5. fxe5 Nc6 6. Nf3 Bg4 7. Bb5 Bc5 
games: 21, white: 33%, black: 52%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. dxc6 O-O 
games: 48, white: 47%, black: 47%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 cxd5 7. Bb5+ Nc6 8. Bxf4 Bd6 
games: 709, white: 58%, black: 34%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 cxd5 5. fxe5
games: 224, white: 57%, black: 36%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 cxd5 5. fxe5 d4 6. Ne4 Nc6 
games: 51, white: 47%, black: 45%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. dxc6 Nbxc6 8. Be2
games: 39, white: 46%, black: 48%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bd3 O-O 8. O-O cxd5 9. Ne5
games: 39, white: 46%, black: 48%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bd3 cxd5 8. O-O O-O 9. Ne5
games: 51, white: 47%, black: 45%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nge7 8. Be2
games: 39, white: 46%, black: 48%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 cxd5 7. Bd3 Ne7 8. O-O O-O 9. Ne5
