games: 519, white: 44%, black: 23%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. h3
games: 510, white: 30%, black: 24%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Bd3 Nc6 7. O-O
games: 501, white: 39%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5 d6 
games: 464, white: 38%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2 b5 6. f3 Nf6 
games: 464, white: 38%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2 Nf6 6. f3 b5 
games: 463, white: 33%, black: 18%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Bd3 Nc6 7. e5 dxe5 8. fxe5
games: 460, white: 40%, black: 25%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nc6 5. f4
games: 460, white: 40%, black: 25%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nc6 5. Be3
games: 453, white: 39%, black: 30%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. f4 b5 
games: 433, white: 34%, black: 22%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Nf3 Nd7 6. a4 Ngf6 7. h3 O-O 
games: 433, white: 34%, black: 22%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nd7 5. Nf3 c6 6. a4 Ngf6 7. h3 O-O 
games: 430, white: 39%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 a6 5. Nf3 b5 6. Bd3 Nd7 7. e5
games: 430, white: 39%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. f4 b5 5. Nf3 d6 6. Bd3 Nd7 7. e5
games: 430, white: 39%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. f4 d6 5. Nf3 b5 6. Bd3 Nd7 7. e5
games: 429, white: 23%, black: 35%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. Nf3 d6 5. Be2 Nf6 6. a4 O-O 7. O-O
games: 426, white: 40%, black: 26%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Bd3 Na6 7. O-O c5 8. d5 Rb8 
games: 413, white: 47%, black: 30%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 c6 5. Nf3 Bg4 
games: 408, white: 37%, black: 26%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nc6 5. f4 Nf6 
games: 408, white: 37%, black: 26%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nc6 5. Be3 Nf6 
games: 395, white: 43%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2 b5 6. Bd3 Nd7 7. Nf3
games: 395, white: 43%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2 b5 6. Nf3 Nd7 7. Bd3
games: 395, white: 43%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2 Nd7 6. Nf3 b5 7. Bd3
games: 395, white: 43%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Nf3 b5 6. Bd3 Nd7 7. Qd2
games: 395, white: 43%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Nf3 Nd7 6. Qd2 b5 7. Bd3
games: 395, white: 43%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nd7 5. Nf3 c6 6. Qd2 b5 7. Bd3
games: 375, white: 42%, black: 28%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2 b5 6. Bd3
games: 371, white: 43%, black: 25%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5
games: 369, white: 35%, black: 32%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Be2
games: 362, white: 49%, black: 25%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 c6 5. Nf3 Bg4 6. Be3
games: 360, white: 38%, black: 14%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 c5 6. Bb5+ Bd7 7. e5 Ng4 8. Bxd7+
games: 359, white: 38%, black: 14%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 c5 6. Bb5+ Bd7 7. e5 Ng4 8. Bxd7+ Qxd7 
games: 355, white: 42%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nd7 
games: 350, white: 37%, black: 32%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 a6 5. Nf3 b5 6. Bd3 Bb7 
games: 350, white: 37%, black: 32%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. f4 b5 5. Nf3 d6 6. Bd3 Bb7 
games: 350, white: 37%, black: 32%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. f4 d6 5. Nf3 b5 6. Bd3 Bb7 
games: 342, white: 33%, black: 37%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. Nf3 d6 5. Be3 b5 
games: 339, white: 49%, black: 21%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. dxc5
games: 336, white: 38%, black: 28%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Bc4 d6 5. Nf3
games: 336, white: 28%, black: 17%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Bd3 Nc6 7. e5 dxe5 8. fxe5 Nh5 
games: 335, white: 39%, black: 28%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. h3 d6 
games: 331, white: 31%, black: 28%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. e5 dxe5 
games: 330, white: 46%, black: 28%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. h4
games: 330, white: 43%, black: 18%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2 Nf6 6. Bh6
games: 325, white: 34%, black: 23%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2 Nf6 6. Nf3 O-O 7. h3
games: 313, white: 34%, black: 35%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Bg5 a6 
games: 312, white: 46%, black: 30%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Bg5 c6 
games: 307, white: 26%, black: 27%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Bd3 Nc6 7. O-O e5 
games: 299, white: 41%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. f4 b5 6. Bd3 Bb7 7. Nf3 Nd7 
games: 299, white: 41%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. f4 b5 6. Nf3 Nd7 7. Bd3 Bb7 
games: 299, white: 41%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. f4 Nd7 6. Nf3 b5 7. Bd3 Bb7 
games: 299, white: 41%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nd7 5. f4 a6 6. Nf3 b5 7. Bd3 Bb7 
games: 299, white: 41%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 a6 5. Nf3 b5 6. Bd3 Nd7 7. Be3 Bb7 
games: 299, white: 41%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 a6 5. Nf3 b5 6. Bd3 Bb7 7. Be3 Nd7 
games: 299, white: 41%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. f4 b5 5. Nf3 d6 6. Bd3 Nd7 7. Be3 Bb7 
games: 299, white: 41%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. f4 b5 5. Nf3 d6 6. Bd3 Bb7 7. Be3 Nd7 
games: 299, white: 41%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. f4 d6 5. Nf3 b5 6. Bd3 Nd7 7. Be3 Bb7 
games: 299, white: 41%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. f4 d6 5. Nf3 b5 6. Bd3 Bb7 7. Be3 Nd7 
games: 290, white: 47%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Bg5 c6 5. Qd2
games: 289, white: 34%, black: 40%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Be3 b6 
games: 284, white: 39%, black: 23%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2 Nf6 6. Nf3 O-O 
games: 284, white: 33%, black: 33%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Be2 c5 
games: 280, white: 40%, black: 24%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nc6 5. f4 Nf6 6. Nf3
