games: 3019, white: 51%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 cxd4 6. cxd4 Nc6 7. Be3
games: 1960, white: 53%, black: 39%, forced: 2, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 cxd4 6. cxd4 a6 7. Nc3
games: 4086, white: 50%, black: 40%, forced: 2, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4
games: 679, white: 63%, black: 29%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. dxc5 Qxc5 7. Na3
games: 1347, white: 55%, black: 37%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Bg4 6. Nbd2 Nc6 
games: 4086, white: 50%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Be3 cxd4 6. cxd4 Nf6 7. Nf3
games: 679, white: 63%, black: 29%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 Nf6 6. dxc5 Qxc5 7. Na3
games: 4086, white: 50%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Be3 cxd4 6. Nf3 Nf6 7. cxd4
games: 4086, white: 50%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Be3 Nf6 6. Nf3 cxd4 7. cxd4
games: 8416, white: 49%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3
games: 3543, white: 50%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Na3 a6 7. Nc4
games: 8416, white: 49%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 Nf6 6. Be3
games: 2624, white: 51%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Bd3
games: 4669, white: 50%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 
games: 8416, white: 49%, black: 41%, forced: 0, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Be3 Nf6 6. Nf3
games: 740, white: 59%, black: 33%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 g6 5. Nf3 Nc6 6. Na3
games: 4669, white: 50%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 cxd4 6. Be3 Nf6 
games: 100566, white: 48%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3
games: 4669, white: 50%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 Nf6 6. Be3 cxd4 
games: 98652, white: 48%, black: 41%, forced: 0, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 
games: 4669, white: 50%, black: 41%, forced: 0, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Be3 cxd4 6. Nf3 Nf6 
games: 4669, white: 50%, black: 41%, forced: 0, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Be3 Nf6 6. Nf3 cxd4 
games: 1482, white: 53%, black: 38%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 Bg4 6. dxc5 Qxc5 
games: 4759, white: 50%, black: 41%, forced: 2, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 g6 5. Nf3 cxd4 6. cxd4 Bg7 7. Nc3
games: 3543, white: 50%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Na3 a6 7. Nc4
games: 6111, white: 49%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3
games: 3543, white: 50%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 a6 6. Na3 Nf6 7. Nc4
games: 3543, white: 50%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 a6 6. Nbd2 Nf6 7. Nc4
games: 5599, white: 49%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 g6 5. Nf3 Bg7 6. Na3
games: 8255, white: 49%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 cxd4 6. cxd4 Qd8 7. Bc4
games: 5599, white: 49%, black: 41%, forced: 0, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 g6 5. Na3 Bg7 6. Nf3
games: 920, white: 54%, black: 35%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 a6 6. Na3 Nc6 
games: 19795, white: 48%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Na3
games: 19795, white: 48%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Na3
games: 30621, white: 47%, black: 40%, forced: 3, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 cxd4 6. cxd4 e5 7. Nc3
games: 1365, white: 53%, black: 39%, forced: 2, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Be3 cxd4 6. cxd4 Nc6 7. Nc3
games: 1365, white: 53%, black: 39%, forced: 2, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Be3 cxd4 6. cxd4 Nf6 7. Nc3
games: 136946, white: 48%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3
games: 629, white: 58%, black: 32%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 a6 6. Na3 Nc6 7. Nc4
games: 1261, white: 53%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 g6 5. Nf3 Bg7 6. Nbd2
games: 2754, white: 49%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Na3 Nc6 7. Be3
games: 2754, white: 49%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 Nc6 7. Na3
games: 2754, white: 49%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 e6 7. Na3
games: 2754, white: 49%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Na3 e6 7. Be3
games: 7637, white: 49%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 cxd4 
games: 2754, white: 49%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 Nf6 6. Be3 e6 7. Na3
games: 43400, white: 48%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 cxd4 
games: 35489, white: 48%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 
games: 2754, white: 49%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 Nf6 6. Na3 e6 7. Be3
games: 6519, white: 49%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Bd3 Nc6 
games: 35489, white: 48%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 Nf6 
games: 806, white: 55%, black: 37%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 Bg4 6. Nbd2 cxd4 
games: 2754, white: 49%, black: 39%, forced: 0, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Be3 Nf6 6. Nf3 e6 7. Na3
games: 2754, white: 49%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Na3 Nc6 7. Be3
games: 6519, white: 49%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Bd3 Nc6 
games: 2754, white: 49%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 Nc6 7. Na3
games: 1453, white: 52%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Be3 cxd4 6. cxd4 Nc6 
games: 2754, white: 49%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 Nf6 7. Na3
games: 6519, white: 49%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Bd3 Nf6 
games: 2754, white: 49%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Na3 Nf6 7. Be3
games: 1453, white: 52%, black: 40%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Be3 cxd4 6. cxd4 Nf6 
games: 5894, white: 49%, black: 42%, forced: 2, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Bd3 Nc6 7. O-O
games: 23805, white: 48%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 
games: 5894, white: 49%, black: 42%, forced: 2, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Bd3 Nc6 7. O-O
games: 829, white: 53%, black: 37%, forced: 0, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Na3
games: 5894, white: 49%, black: 42%, forced: 2, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Bd3 Nf6 7. O-O
games: 6128, white: 48%, black: 41%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 a6 
games: 408, white: 64%, black: 29%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Bg4 6. Nbd2 e6 7. Qa4+
games: 4843, white: 49%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 Nc6 
games: 4843, white: 49%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 e6 
games: 1021, white: 52%, black: 39%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 Bg4 6. dxc5 Qxc5 7. Be3
games: 4984, white: 49%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 g6 5. Nf3 cxd4 6. cxd4 Bg7 
games: 4843, white: 49%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Nf3 Nf6 6. Be3 e6 
games: 4843, white: 49%, black: 42%, forced: 0, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nc6 5. Be3 Nf6 6. Nf3 e6 
games: 4843, white: 49%, black: 42%, forced: 1, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 Nc6 
