games: 355, white: 53%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Be7 8. Nc3 Bxh4 9. gxh4 Qxh4+ , forced: 2
games: 355, white: 53%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Be7 8. Be3 Bxh4 9. gxh4 Qxh4+ , forced: 2
games: 355, white: 53%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Be3 Be7 8. Nc3 Bxh4 9. gxh4 Qxh4+ 10. Bf2, forced: 2
games: 355, white: 53%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 Be7 8. Be3 Bxh4 9. gxh4 Qxh4+ 10. Bf2, forced: 2
games: 2453, white: 51%, black: 43%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 Bg7 , forced: 0
games: 558, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 h6 , forced: 0
games: 53, white: 73%, black: 24%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 g4 6. Nh4 f3 7. Nc3 c6 , forced: 0
games: 907, white: 51%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 Nc6 6. h4 g4 , forced: 0
games: 375, white: 52%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 Nc6 6. h4 g4 7. Ng5 h6 8. Nxf7 Kxf7 9. Bc4+ Kg7 , forced: 0
games: 2429, white: 51%, black: 44%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. h4 g4 6. Ng1, forced: 0
games: 567, white: 52%, black: 43%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. h4 g4 6. Ng1 Qf6 , forced: 0
games: 521, white: 51%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. Nc3 Nc6 6. g3, forced: 0
games: 445, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 g5 5. g3 h6 6. Nc3 g4 , forced: 0
