games: 283, white: 54%, black: 32%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Qxd5 6. Nc3 Bb4 7. dxe4 Qxe4 
games: 283, white: 54%, black: 32%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Qe2 Nf6 6. Nc3 Bb4 7. dxe4 Qxe4 
games: 106, white: 78%, black: 19%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nd2 Nf6 6. dxe4 Nxe4 7. Bc4 Qd4 
games: 104, white: 79%, black: 18%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nd2 Nf6 6. dxe4 Nxe4 7. Bc4 Qd4 8. Qe2
games: 147, white: 61%, black: 29%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Nf6 6. c4 Bc5 7. Qe2+ Kf8 8. Nf3
games: 147, white: 61%, black: 29%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. c4 Nf6 6. Bxd3 Bc5 7. Qe2+ Kf8 8. Nf3
games: 147, white: 61%, black: 29%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. Bxd3 Nf6 6. c4 Bc5 7. Qe2+ Kf8 8. Nf3
games: 147, white: 61%, black: 29%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d4 exd3 5. c4 Nf6 6. Bxd3 Bc5 7. Qe2+ Kf8 8. Nf3
games: 271, white: 53%, black: 32%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2 Qxd5 6. Nc3 Bb4 7. dxe4 Qxe4 8. Bd2
games: 271, white: 53%, black: 32%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Qe2 Nf6 6. Nc3 Bb4 7. dxe4 Qxe4 8. Bd2
games: 807, white: 55%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Nd2
games: 713, white: 53%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Qe2
games: 199, white: 58%, black: 36%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 exd3 5. Bxd3 Nf6 6. c4 Bc5 7. Qe2+ Be7 
