games: 1709, white: 56%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. c3 Be7 6. Re1 Bg4 , forced: 0
games: 1709, white: 56%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. c3 Bg4 6. Re1 Be7 , forced: 0
games: 1709, white: 56%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. Re1 d6 6. c3 Bg4 , forced: 1
games: 2038, white: 55%, black: 38%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 Bd6 5. O-O a6 6. Bxc6 dxc6 , forced: 2
games: 9110, white: 52%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d3 Be7 6. c3 O-O , forced: 1
games: 3232, white: 53%, black: 38%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 exd4 6. Re1, forced: 3
games: 8250, white: 52%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. c3 Be7 , forced: 0
games: 1709, white: 56%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. c3 d6 6. Re1 Bg4 , forced: 0
games: 9110, white: 52%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. d3 d6 6. c3 O-O , forced: 1
games: 9110, white: 52%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. d3 O-O 6. c3 d6 , forced: 0
games: 9110, white: 52%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. O-O Be7 6. c3 O-O , forced: 1
games: 9110, white: 52%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. c3 Be7 6. O-O O-O , forced: 1
games: 2007, white: 53%, black: 36%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bb4 5. O-O Bxc3 6. bxc3 d6 , forced: 0
games: 33574, white: 52%, black: 42%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. c3, forced: 0
games: 1453, white: 56%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d3 Be7 6. c3 Bg4 , forced: 1
games: 1453, white: 56%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. c3 Bg4 6. d3 Be7 , forced: 0
games: 2996, white: 53%, black: 39%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bc5 5. Nxe5 Nxe5 6. d4 Bd6 , forced: 1
games: 1453, white: 56%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. d3 d6 6. c3 Bg4 , forced: 1
games: 1453, white: 56%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. O-O Be7 6. c3 Bg4 , forced: 1
games: 3784, white: 52%, black: 39%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 exd4 , forced: 2
games: 1453, white: 56%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. c3 Be7 6. O-O Bg4 , forced: 1
games: 1078, white: 59%, black: 34%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O a6 5. Bxc6 dxc6 6. Nxe5 Bc5 , forced: 1
games: 3258, white: 53%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d3 Be7 6. c3 Bd7 , forced: 1
games: 2461, white: 53%, black: 39%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. d3, forced: 0
games: 3211, white: 53%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. c3 Be7 , forced: 0
games: 3258, white: 53%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. d3 d6 6. c3 Bd7 , forced: 1
games: 3211, white: 53%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. c3 d6 , forced: 0
games: 3258, white: 53%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. O-O Be7 6. c3 Bd7 , forced: 1
games: 3258, white: 53%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. c3 Be7 6. O-O Bd7 , forced: 1
games: 12648, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 , forced: 0
games: 11525, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d3 Be7 , forced: 0
games: 11525, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. d3 d6 , forced: 0
games: 11525, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. O-O Be7 , forced: 0
games: 53146, white: 51%, black: 42%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 , forced: 0
games: 1572, white: 55%, black: 39%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. Nxe5 O-O 6. Bxc6 dxc6 , forced: 1
games: 1572, white: 55%, black: 39%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. Bxc6 dxc6 6. Nxe5 O-O , forced: 1
games: 46503, white: 50%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bb4 5. O-O, forced: 0
games: 3201, white: 52%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. Bxc6, forced: 1
games: 1572, white: 55%, black: 39%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Bxc6 dxc6 5. O-O Bc5 6. Nxe5 O-O , forced: 1
games: 5340, white: 51%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Nd4 5. Nxe5, forced: 0
games: 7910, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. Re1, forced: 1
games: 4257, white: 50%, black: 38%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d4 Bd7 , forced: 1
games: 993, white: 57%, black: 36%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. c3 Bg4 , forced: 0
games: 1154, white: 55%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. Re1 Bg4 6. c3, forced: 0
games: 1154, white: 55%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. c3 Bg4 6. Re1, forced: 0
games: 14162, white: 51%, black: 42%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4 b5 6. Bb3 Be7 , forced: 2
games: 6693, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4 Be7 6. O-O, forced: 2
games: 7889, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. c3 a6 6. Ba4 Be7 , forced: 1
games: 4708, white: 49%, black: 38%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d4 Bd7 6. Nc3 Be7 , forced: 1
games: 967, white: 56%, black: 36%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. c3 Bg4 6. d3, forced: 0
games: 2204, white: 52%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. c3 Bb6 , forced: 0
games: 2329, white: 52%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 d6 5. c3 Be7 6. Nbd2, forced: 1
games: 920, white: 57%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Be7 5. Re1 O-O , forced: 1
games: 663, white: 61%, black: 33%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 Bc5 5. c3 d6 6. d4, forced: 1
games: 52980, white: 50%, black: 42%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bc5 , forced: 0
games: 5871, white: 51%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4 Be7 6. O-O b5 , forced: 3
games: 1239, white: 53%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d4 Bd7 6. Re1, forced: 1
games: 15446, white: 50%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bb4 5. O-O O-O 6. d3 d6 , forced: 0
games: 1558, white: 54%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Nd4 5. Ba4 Bc5 6. Nxe5, forced: 0
games: 1239, white: 53%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. Re1 Bd7 6. d4, forced: 0
games: 1732, white: 53%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. Re1 Bg4 , forced: 0
games: 1916, white: 53%, black: 41%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. c3 Nxe4 6. d4 exd4 , forced: 2
games: 625, white: 61%, black: 33%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 Bc5 5. c3 d6 6. d4 exd4 , forced: 2
games: 2060, white: 52%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Bxc6 dxc6 5. Nc3 Bc5 6. d3, forced: 1
games: 2060, white: 52%, black: 40%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bc5 5. Bxc6 dxc6 6. d3, forced: 1
games: 31597, white: 50%, black: 42%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Qe2 a6 5. Ba4 b5 6. Bb3, forced: 2
