games: 203, white: 52%, black: 44%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 Bg4 5. d4 Bxe2 6. Ngxe2 Qa5 7. O-O Nc6 
games: 32534, white: 44%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 
games: 23007, white: 44%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2
games: 87, white: 63%, black: 35%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 Bg4 5. d4 Bxe2 6. Ngxe2 Qa5 7. O-O Nc6 8. d5 O-O-O 
games: 1382, white: 43%, black: 44%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qc7 6. O-O Nf6 7. d4
games: 214, white: 48%, black: 41%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Qc7 10. Re1 Be7 11. Ne5 O-O 
games: 144, white: 51%, black: 40%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qc7 6. d4 Bf5 7. d5 Nf6 
games: 103, white: 55%, black: 33%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. d4 Qc7 6. g3
games: 144, white: 51%, black: 40%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. d4 Qc7 6. Nf3 Bf5 7. d5 Nf6 
games: 144, white: 52%, black: 42%, forced: 4, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Qc7 10. Re1 Nbd7 11. d5 cxd5 12. Bxd5
games: 90, white: 62%, black: 36%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 Bg4 5. d4 Bxe2 6. Ngxe2 Qa5 7. O-O Nc6 8. d5
games: 125, white: 54%, black: 40%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 Bg4 5. d4 Bxe2 6. Ngxe2 Qa5 7. O-O Nf6 8. Bd2 Nc6 9. a4
games: 144, white: 52%, black: 42%, forced: 4, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Nbd7 10. Re1 Qc7 11. d5 cxd5 12. Bxd5
games: 144, white: 51%, black: 40%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. d4 Qc7 6. d5 Bf5 7. Nf3 Nf6 
games: 111, white: 54%, black: 39%, forced: 7, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Ne5 e6 9. Bf4 Nbd7 10. Nc4 Qd8 11. Nd6+ Bxd6 12. Bxd6 Nb6 
games: 313, white: 45%, black: 43%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Bb4 10. Ne5
games: 13190, white: 44%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 Bg4 
games: 2876, white: 44%, black: 47%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qa5 6. O-O Nf6 7. d4 Bf5 8. Bd2 e6 9. Bc4 Nbd7 
games: 109, white: 54%, black: 39%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 c6 5. Nf3 Qc7 6. d4 Bf5 7. Ne5 e6 8. g4
