games: 956, white: 54%, black: 37%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nf6 5. Bd3 Nc6 6. c3 dxe4 7. Nxe4
games: 915, white: 54%, black: 37%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 Nc6 5. Ngf3 Nf6 6. Bd3 dxe4 
games: 6469, white: 49%, black: 40%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. Bb5 cxd4 6. Nxd4 Bd7 7. Nxc6
games: 3543, white: 50%, black: 40%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 a6 5. exd5 Qxd5 6. Ngf3 Nf6 7. Nc4
games: 956, white: 54%, black: 37%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 Nc6 5. Ngf3 Nf6 6. Bd3 dxe4 7. Nxe4
games: 4436, white: 49%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 Nc6 5. Ngf3 Nf6 
games: 660, white: 55%, black: 35%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. exd5 exd5 6. Bb5+
games: 27945, white: 48%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Nf6 6. e5 Nd7 
games: 27945, white: 48%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nf6 5. e5 Nfd7 6. c3 Nc6 
games: 611, white: 56%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 cxd4 5. Nxd4 dxe4 6. Nxe4 Nf6 7. Bd3
games: 312, white: 70%, black: 21%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 cxd4 5. Bb5+
games: 309, white: 70%, black: 21%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 cxd4 5. Bb5+ Bd7 
games: 516, white: 57%, black: 38%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Bxc5 5. Bd3 Nc6 6. c3 Nf6 
games: 27945, white: 48%, black: 45%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 Nc6 5. Ngf3 Nf6 6. e5 Nd7 
games: 7221, white: 48%, black: 43%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. Bb5
games: 516, white: 57%, black: 38%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nf6 5. Bd3 Nc6 6. c3 Bxc5 
games: 4692, white: 49%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Ngf3 Nc6 6. Bb5 Bd6 7. O-O
games: 516, white: 57%, black: 38%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. dxc5 Nc6 5. Bd3 Bxc5 6. c3 Nf6 
games: 3834, white: 49%, black: 43%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Nf6 6. Bd3 Be7 
games: 4692, white: 49%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Bb5+ Nc6 6. Ngf3 Bd6 7. O-O
games: 4922, white: 49%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 cxd4 6. cxd4 Nf6 7. Bd3
games: 3834, white: 49%, black: 43%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nf6 5. Bd3 Nc6 6. c3 Be7 
games: 4922, white: 49%, black: 42%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. c3 Nf6 6. Bd3 cxd4 7. cxd4
games: 4692, white: 49%, black: 39%, pgn:1. e4 e6 2. d4 d5 3. Nd2 c5 4. Ngf3 Nc6 5. exd5 exd5 6. Bb5 Bd6 7. O-O
