games: 601, white: 59%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. c3 O-O 8. Ne5, forced: 1
games: 601, white: 59%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Be7 7. Ne5 O-O 8. c3, forced: 1
games: 216, white: 66%, black: 28%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Bd6 7. Nf3 O-O 8. Bxa6 bxa6 , forced: 2
games: 232, white: 65%, black: 30%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 cxd4 7. exd4 Bd7 , forced: 1
games: 1502, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Bd6 7. Nf3, forced: 1
games: 549, white: 58%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. g4 Bd6 8. g5, forced: 1
games: 333, white: 61%, black: 32%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. Qf3, forced: 1
games: 9721, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 , forced: 0
games: 5867, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 , forced: 1
games: 516, white: 58%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 Bd7 6. Nf3 c5 7. c3 c4 8. a4 Qb6 9. b3, forced: 0
games: 516, white: 58%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Bd7 7. Nf3 c4 8. a4 Qb6 9. b3, forced: 1
games: 183, white: 66%, black: 30%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. Nf3 Bd6 8. Ne5 Bxe5 , forced: 2
games: 516, white: 58%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 c4 7. Nf3 Qb6 8. a4 Bd7 9. b3, forced: 2
games: 280, white: 62%, black: 32%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. g4 Bd6 8. Qf3 Bxf4 9. Qxf4, forced: 2
games: 280, white: 62%, black: 32%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. Qf3 Bd6 8. g4 Bxf4 9. Qxf4, forced: 2
games: 3846, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 , forced: 0
games: 516, white: 58%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. a4 Bd7 8. Nf3 c4 9. b3, forced: 0
games: 516, white: 58%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. Nf3 Bd7 8. a4 c4 9. b3, forced: 1
games: 226, white: 63%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. g4 Bd6 8. Qf3 Bxf4 , forced: 2
games: 606, white: 58%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. Bd3 Nbd7 , forced: 1
games: 516, white: 58%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. Nf3 c4 8. a4 Bd7 9. b3, forced: 2
games: 226, white: 63%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. Qf3 Bd6 8. g4 Bxf4 , forced: 2
games: 372, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. Bd3 Bd6 8. Qf3, forced: 1
games: 516, white: 58%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 Bd7 7. c3 c4 8. a4 Qb6 9. b3, forced: 0
games: 516, white: 58%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. Nf3 c4 7. c3 Qb6 8. a4 Bd7 9. b3, forced: 2
games: 372, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. Qf3 Bd6 8. Bd3, forced: 1
games: 472, white: 59%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. Nf3 Bd6 8. Ne5 O-O 9. Qf3, forced: 2
games: 788, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. Nf3 O-O 8. a4 Bd7 9. h3, forced: 1
games: 788, white: 56%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. Nf3 O-O 8. h3 Bd7 9. a4, forced: 2
