games: 594, white: 55%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 a6 5. h4 Bg7 6. h5, forced: 2
games: 2580, white: 49%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nf3 c6 6. h3 O-O , forced: 2
games: 496, white: 57%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. f3 c6 5. e4 Bg7 6. Qd2, forced: 0
games: 2580, white: 49%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. Nf3 Bg7 6. h3 O-O , forced: 2
games: 6118, white: 50%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c6 , forced: 1
games: 2580, white: 49%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h3 Bg7 6. Nf3 O-O , forced: 2
games: 6118, white: 50%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 Bg7 , forced: 1
games: 2580, white: 49%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. e3 c6 6. h3 O-O , forced: 2
games: 2860, white: 51%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Qd2 Bg7 5. Bh6 O-O 6. h4, forced: 0
games: 2580, white: 49%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. h3 c6 6. e3 O-O , forced: 2
games: 1480, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 a6 5. h4, forced: 1
games: 2580, white: 49%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. e3 Bg7 6. h3 O-O , forced: 2
games: 2580, white: 49%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 c6 5. h3 Bg7 6. e3 O-O , forced: 3
games: 2029, white: 50%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c6 5. h4 h5 6. Nf3, forced: 1
games: 485, white: 55%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 a6 5. h4 h5 6. Nf3, forced: 1
games: 444, white: 57%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. f3 c6 5. e4 dxe4 6. fxe4, forced: 2
