games: 1902, white: 30%, black: 14%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 Nxd5 5. Nf3 Nxc3 6. bxc3 c5 7. e4 cxd4 8. cxd4 Bb4+ 
games: 1902, white: 30%, black: 14%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 Nxd5 5. Nf3 Nxc3 6. bxc3 c5 7. e4 cxd4 8. cxd4 Bb4+ 9. Bd2
games: 323, white: 27%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. e3 c6 7. Qc2 Nbd7 8. Nf3 Nh5 9. Bxe7
games: 325, white: 27%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. e3 c6 7. Qc2 Nbd7 8. Nf3 Nh5 9. Bxe7 Qxe7 
games: 323, white: 27%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. e3 Nbd7 7. Nf3 c6 8. Qc2 Nh5 9. Bxe7
games: 325, white: 27%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. e3 Nbd7 7. Nf3 c6 8. Qc2 Nh5 9. Bxe7 Qxe7 
games: 323, white: 27%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. Qc2 c6 7. e3 Nbd7 8. Nf3 Nh5 9. Bxe7
games: 325, white: 27%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. Qc2 c6 7. e3 Nbd7 8. Nf3 Nh5 9. Bxe7 Qxe7 
games: 323, white: 27%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Nbd7 6. e3 Be7 7. Nf3 c6 8. Qc2 Nh5 9. Bxe7
games: 325, white: 27%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Nbd7 6. e3 Be7 7. Nf3 c6 8. Qc2 Nh5 9. Bxe7 Qxe7 
games: 130, white: 20%, black: 27%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Bb4 6. Nf3 O-O 7. Qc2 h6 8. Bh4
games: 165, white: 23%, black: 21%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Bb4 6. Nf3 Nbd7 7. Rc1 c6 
games: 347, white: 28%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. e3 c6 7. Qc2 Nbd7 8. Nf3 Nh5 
games: 347, white: 28%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. e3 Nbd7 7. Nf3 c6 8. Qc2 Nh5 
games: 347, white: 28%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. Qc2 c6 7. e3 Nbd7 8. Nf3 Nh5 
games: 347, white: 28%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Nbd7 6. e3 Be7 7. Nf3 c6 8. Qc2 Nh5 
games: 1647, white: 32%, black: 16%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. e3 Nbd7 7. Nf3 c6 
games: 123, white: 20%, black: 26%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Bb4 6. Nf3 O-O 7. Qc2 h6 
games: 1647, white: 32%, black: 16%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Nbd7 6. e3 Be7 7. Nf3 c6 
games: 1366, white: 33%, black: 17%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. e3 c6 7. Bd3 Nbd7 8. Nf3
games: 121, white: 25%, black: 30%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 Nxd5 5. Nf3 c5 6. e3 Nc6 7. Bd3 cxd4 8. exd4 Bb4 
games: 1366, white: 33%, black: 17%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Be7 6. e3 Nbd7 7. Bd3 c6 8. Nf3
games: 149, white: 17%, black: 17%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Bb4 6. Nf3 h6 7. Bh4 Nbd7 
games: 121, white: 25%, black: 30%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. cxd5 Nxd5 5. Nf3 c5 6. e3 cxd4 7. exd4 Nc6 8. Bd3 Bb4 
