games: 1422, white: 28%, black: 25%, forced: 4, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 e6 6. cxd5 Nxd5 7. Nf3 Bb4 8. Bd2
games: 181, white: 19%, black: 29%, forced: 4, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. cxd5 Nxd5 6. Nc3 g6 7. Bc4 Nb6 
games: 1702, white: 23%, black: 20%, forced: 2, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. c4 e6 6. Nc3 Bb4 7. Bd3 O-O 8. O-O
games: 1675, white: 23%, black: 20%, forced: 4, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nf3 e6 6. Nc3 Bb4 7. Bd3 O-O 8. O-O dxc4 
games: 1675, white: 23%, black: 20%, forced: 5, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. Nc3 Nf6 6. Nf3 Bb4 7. Bd3 O-O 8. O-O dxc4 
games: 1422, white: 28%, black: 25%, forced: 3, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nf3 e6 6. Nc3 Bb4 7. cxd5 Nxd5 8. Bd2
games: 1422, white: 28%, black: 25%, forced: 4, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. cxd5 Nxd5 6. Nc3 e6 7. Nf3 Bb4 8. Bd2
games: 1070, white: 26%, black: 24%, forced: 1, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. c3 Nc6 6. Bf4 Bg4 7. Qb3
games: 1070, white: 26%, black: 24%, forced: 3, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bf4 Nf6 5. c3 Nc6 6. Bd3 Bg4 7. Qb3
games: 1675, white: 23%, black: 20%, forced: 4, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. Nf3 Nf6 6. Nc3 Bb4 7. Bd3 O-O 8. O-O dxc4 
games: 1422, white: 28%, black: 25%, forced: 4, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. Nc3 Nf6 6. Nf3 Bb4 7. cxd5 Nxd5 8. Bd2
games: 1422, white: 28%, black: 25%, forced: 4, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. Nc3 Nf6 6. cxd5 Nxd5 7. Nf3 Bb4 8. Bd2
games: 1675, white: 23%, black: 20%, forced: 3, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. c4 e6 6. Nc3 Bb4 7. Bd3 O-O 8. O-O dxc4 
games: 1422, white: 28%, black: 25%, forced: 3, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. Nf3 Nf6 6. Nc3 Bb4 7. cxd5 Nxd5 8. Bd2
games: 939, white: 26%, black: 24%, forced: 5, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 e6 6. Nf3 Bb4 7. Bd3 dxc4 8. Bxc4
games: 1422, white: 28%, black: 25%, forced: 2, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. c4 e6 6. Nc3 Bb4 7. cxd5 Nxd5 8. Bd2
games: 925, white: 26%, black: 24%, forced: 4, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 e6 6. Nf3 Bb4 7. Bd3 dxc4 
games: 939, white: 26%, black: 24%, forced: 4, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nf3 e6 6. Nc3 Bb4 7. Bd3 dxc4 8. Bxc4
games: 939, white: 26%, black: 24%, forced: 5, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. Nc3 Nf6 6. Nf3 Bb4 7. Bd3 dxc4 8. Bxc4
games: 142, white: 21%, black: 33%, forced: 2, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 Nc6 6. Nf3 Be6 7. c5
games: 201, white: 22%, black: 30%, forced: 2, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 g6 6. cxd5 Nxd5 7. Bc4
games: 381, white: 23%, black: 27%, forced: 1, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nf3
