games: 1897, white: 36%, black: 27%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. Be2 c5 7. d5
games: 301, white: 31%, black: 31%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f3 O-O 6. Be3 a6 7. Qd2 Nbd7 
games: 1897, white: 36%, black: 27%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 c5 6. Be2 O-O 7. d5
games: 580, white: 36%, black: 30%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 c5 
games: 301, white: 31%, black: 31%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f3 a6 6. Be3 O-O 7. Qd2 Nbd7 
games: 1897, white: 36%, black: 27%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 O-O 6. Nf3 c5 7. d5
games: 794, white: 37%, black: 29%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 c5 6. d5
games: 1689, white: 37%, black: 28%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 O-O 6. Nf3 c5 7. d5 e6 8. Be2
games: 1868, white: 35%, black: 26%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 O-O 6. Bg5 Na6 
games: 1689, white: 37%, black: 28%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 c5 6. d5 O-O 7. Nf3 e6 8. Be2
games: 763, white: 37%, black: 29%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 O-O 6. Nf3 Na6 
games: 763, white: 37%, black: 29%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 Na6 6. Nf3 O-O 
games: 228, white: 29%, black: 35%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f3 O-O 6. Be3 c5 7. d5 e6 8. Qd2
games: 2206, white: 36%, black: 26%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Nf3 O-O 6. Be2 e5 7. d5 a5 8. Bg5
games: 2063, white: 37%, black: 27%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. f4 O-O 6. Nf3 c5 7. d5 e6 
games: 2206, white: 36%, black: 26%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 O-O 6. Nf3 e5 7. d5 a5 8. Bg5
games: 740, white: 34%, black: 26%, pgn:1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. d4 Bg7 5. Be2 O-O 6. Bg5 Na6 7. Qd2 e5 8. d5
