games: 43, white: 32%, black: 32%, forced: 3, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. O-O a6 6. Bd3 Nc6 7. b3 d6 8. Bb2
games: 26, white: 19%, black: 30%, forced: 1, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Bc4 Nf6 6. O-O Qc7 7. d3
games: 422, white: 51%, black: 21%, forced: 4, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 g6 5. Bc4 Bg7 6. Nxd4 cxd4 7. Qf3
games: 770, white: 50%, black: 18%, forced: 1, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Bxc6
games: 476, white: 52%, black: 21%, forced: 1, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 g6 5. Bc4 Bg7 
games: 422, white: 51%, black: 21%, forced: 4, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Nd4 5. Bc4 Bg7 6. Nxd4 cxd4 7. Qf3
games: 476, white: 52%, black: 21%, forced: 1, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Nd4 5. Bc4 Bg7 
games: 33, white: 30%, black: 33%, forced: 2, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Bc4 a6 6. Nxd4 cxd4 7. Ne2 Bc5 
games: 187, white: 50%, black: 22%, forced: 6, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 g6 5. Bc4 Bg7 6. Nxd4 cxd4 7. Qf3 Nh6 8. Ne2 O-O 
games: 19, white: 31%, black: 47%, forced: 0, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. a4 Ne7 
games: 34, white: 26%, black: 29%, forced: 1, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 Nc6 6. O-O d6 
