games: 92, white: 41%, black: 34%, forced: 5, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7 Nxd7 
games: 68, white: 25%, black: 27%, forced: 5, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O Nbd7 10. a3
games: 68, white: 25%, black: 27%, forced: 6, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O Nbd7 10. a3 Bxc3 
games: 68, white: 25%, black: 27%, forced: 7, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O Nbd7 10. a3 Bxc3 11. Bxc3
games: 67, white: 23%, black: 28%, forced: 2, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Nf3 c6 6. g3 Bf5 7. Bg2 e6 8. O-O
games: 92, white: 33%, black: 28%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Nb5
games: 86, white: 32%, black: 29%, forced: 2, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 
games: 106, white: 42%, black: 33%, forced: 4, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 9. h4 Nbd7 
games: 114, white: 38%, black: 29%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Bd2 Bg4 
games: 1390, white: 38%, black: 21%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Nf3 a6 
games: 106, white: 42%, black: 33%, forced: 3, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 9. h4 Nbd7 
games: 68, white: 23%, black: 26%, forced: 1, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Nf3 c6 6. g3 Bf5 7. Bg2 e6 
games: 308, white: 44%, black: 28%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 Nc6 
games: 190, white: 33%, black: 20%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Nf3 g6 6. Nb5 Qb6 
games: 189, white: 43%, black: 29%, forced: 2, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb6 6. h3 Bg7 
