games: 22, white: 68%, black: 27%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nf3 e6 9. Nc3 Be7 10. d5 Nb8 11. Nd4 O-O 
games: 72, white: 66%, black: 25%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 e6 9. Nf3 Be7 10. d5 Nb4 11. Rc1 exd5 
games: 72, white: 66%, black: 25%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nf3 e6 9. Nc3 Be7 10. d5 Nb4 11. Rc1 exd5 
games: 10, white: 70%, black: 30%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 Qd7 9. Be2 O-O-O 10. Nf3 Bg4 11. Ng5
games: 10, white: 70%, black: 30%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 Qd7 9. Be2 O-O-O 10. Nf3 Bg4 11. Ng5 Bxe2 
games: 33, white: 69%, black: 30%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 g6 8. Nc3 Bg7 9. h3 Bf5 10. Nf3
games: 13, white: 69%, black: 30%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 g6 8. Nf3 Bg4 9. Nbd2 Bg7 10. h3
games: 13, white: 69%, black: 30%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nf3 e6 9. Be2 Qd7 10. Nbd2 O-O-O 
games: 13, white: 69%, black: 30%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Be2 e6 9. Nf3 Qd7 10. Nbd2 O-O-O 
games: 13, white: 69%, black: 30%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Be2 Qd7 9. Nf3 e6 10. Nbd2 O-O-O 
games: 16, white: 68%, black: 31%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 e6 9. Be2 Be7 10. Nf3 f6 11. Nh4
games: 16, white: 68%, black: 31%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Be2 e6 9. Nc3 Be7 10. Nf3 f6 11. Nh4
