games: 28, white: 60%, black: 32%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nf6 5. Nc3 e5 6. Qe2
games: 104, white: 60%, black: 32%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 c6 5. c4 Nb6 6. Nc3
games: 25, white: 60%, black: 32%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd8 5. h3 e6 6. g4
games: 163, white: 59%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Bd3 Nxd5 5. c3
games: 163, white: 59%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c3 Nxd5 5. Bd3
games: 18, white: 55%, black: 27%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Nb5 Qd8 6. Bc4
games: 40, white: 62%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Bc4 b5 6. Bb3
games: 149, white: 60%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bg4 5. h3 Bf5 
games: 15, white: 60%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 g6 5. c4 Nb6 6. c5
games: 142, white: 60%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 e5 5. cxb7 Bxb7 6. Nf3
games: 26, white: 57%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 c6 5. c3 Bf5 6. Be3
games: 68, white: 57%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Bf5 5. c4 Qd6 6. Be2
games: 26, white: 57%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Bf5 5. c3 c6 6. Be3
games: 216, white: 60%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Be2
games: 43, white: 60%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Nf3 g6 5. Be2
games: 43, white: 60%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nf6 5. h3 c6 6. Be3
games: 130, white: 60%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 Nxc6 5. Nf3 e6 6. Bd3
games: 38, white: 60%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Nf3 g6 5. Be2 Bg7 6. O-O
games: 334, white: 59%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Bxd7+
games: 27, white: 59%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 e5 5. Nf3
games: 258, white: 59%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 Nxc6 5. Bb5 Bf5 6. Nf3
games: 16, white: 62%, black: 37%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Bd3 Qxd5 5. Nf3 g6 
games: 16, white: 62%, black: 37%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 c6 5. Bd3 g6 
games: 28, white: 60%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. Bc4 Be6 
games: 45, white: 60%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Nf3 g6 5. Be2 Bg7 
games: 214, white: 60%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. Bc4 c6 6. O-O
games: 95, white: 60%, black: 35%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bg4 5. c4 Nb4 6. Be2
games: 716, white: 59%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 
games: 44, white: 59%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb4 
games: 179, white: 59%, black: 34%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nf6 5. Nc3 Bf5 6. Qb3
games: 3315, white: 58%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. Be2
games: 3124, white: 58%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. Be2 Bxe2 
games: 12, white: 58%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nc3 Bf5 5. Bd3 Bg6 6. Nxd5
games: 2970, white: 58%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. f3 Bf5 6. Nc3
