games: 2487, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. Ne5 Nbd7 6. e3
games: 72, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. Qd2 e6 6. a3
games: 347, white: 56%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 c6 5. f3 e6 6. h4
games: 94, white: 56%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 c6 5. f3 Nbd7 6. h4
games: 173, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 c6 5. f3 h6 6. h4
games: 72, white: 56%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 c6 5. Nf3 e6 6. a3
games: 32, white: 56%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Nf3 c5 6. Ne5 Be7 
games: 30, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Bd3 Bd6 6. Nge2 O-O 
games: 62, white: 56%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. f3 Nbd7 6. Qd2 h6 
games: 32, white: 56%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 e6 5. Qd2 Bb4 6. a3 Bxc3 
games: 78, white: 56%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. Qd2 Nbd7 6. h4 h6 
games: 62, white: 56%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. Qd2 Nbd7 6. e3 h6 
games: 78, white: 56%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. Qd2 h6 6. h4 Nbd7 
games: 62, white: 56%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. e3 Nbd7 6. Qd2 h6 
games: 78, white: 56%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. h4 h6 6. Qd2 Nbd7 
games: 32, white: 56%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. e3 c5 6. Ne5 Be7 
games: 32, white: 56%, black: 43%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 e6 5. f3 Bb4 6. a3 Bxc3 
games: 78, white: 56%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 c6 5. f3 Nbd7 6. h4 h6 
games: 62, white: 56%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 c6 5. f3 Nbd7 6. e3 h6 
games: 78, white: 56%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 c6 5. f3 h6 6. h4 Nbd7 
games: 152, white: 55%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. dxc5
games: 56, white: 55%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 h6 5. Qd2
games: 119, white: 55%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 Bg6 5. e3
games: 60, white: 55%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 a6 5. O-O-O
games: 17704, white: 55%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Nf3 c6 
games: 17704, white: 55%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. Nf3 e6 
games: 247, white: 55%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 a6 5. Nf3 Nbd7 
games: 17704, white: 55%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. e3 c6 
games: 17704, white: 55%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. e3 e6 
games: 247, white: 55%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 a6 5. e3 Nbd7 
games: 249, white: 55%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. f3 h6 6. Bd3
games: 195, white: 55%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 a6 5. Nf3 Nc6 6. Ne5
games: 180, white: 55%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 e6 5. Qd2 Bd6 6. g4
games: 2660, white: 55%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. Qd2 e6 6. g4
games: 249, white: 55%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. e3 h6 6. Bd3
games: 249, white: 55%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 h6 5. e3 c6 6. Bd3
games: 18, white: 55%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. h3 a6 6. g4
