games: 238, white: 55%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e6 6. h4 Nge7 
games: 238, white: 55%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 Bg7 6. h4 Nge7 
games: 888, white: 54%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Be3 e5 6. Bg2
games: 1162, white: 54%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 d6 5. d4 cxd4 6. Nxd4
games: 332, white: 54%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e5 6. f4 exf4 
games: 332, white: 54%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 e5 6. d3 exf4 
games: 332, white: 54%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Bg7 6. f4 exf4 
games: 332, white: 54%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e5 6. f4 exf4 
games: 332, white: 54%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 Bg7 5. Bg2 e5 6. d3 exf4 
games: 13, white: 53%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 d6 5. Nf3 Bg4 6. O-O
games: 65, white: 53%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 d6 6. Nh3
games: 241, white: 53%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Nge7 6. f4 d6 
games: 20, white: 50%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Be3 e5 6. Bg2 Nd4 
games: 270, white: 54%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 h5 5. h3
