games: 35, white: 60%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Bd6 5. Nd2 b6 6. Qe2
games: 15, white: 60%, black: 40%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 c5 5. c3 Qb6 6. Qe2
games: 43, white: 60%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Be7 5. Nd2 Nbd7 6. Bg3
games: 43, white: 60%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Nbd7 5. Nd2 Be7 6. Bg3
games: 15, white: 60%, black: 40%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Bd6 5. Bg3 b6 6. f4
games: 15, white: 60%, black: 40%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Bd3 Qb6 6. Qe2
games: 38, white: 60%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Qb3 Bd6 6. Nf3
games: 200, white: 59%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Bd3 Qb6 
games: 200, white: 59%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Qb6 
games: 203, white: 59%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. c4 dxc4 
games: 122, white: 59%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. c3 Ne4 
games: 203, white: 59%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Nf3 dxc4 
games: 790, white: 59%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Bd6 5. Ne5 c5 6. Bb5+
games: 257, white: 59%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. Nbd2 b6 6. c3
games: 2872, white: 59%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Bd6 6. Ne5
games: 177, white: 59%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Ne4 6. Bd3
games: 322, white: 59%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. c4 Bb4+ 6. Nbd2
games: 215, white: 59%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. c3 c6 6. Bd3
games: 257, white: 59%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Nbd7 5. Ngf3 b6 6. c3
games: 89, white: 59%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Bd6 5. Nf3 b6 6. Bg5
games: 215, white: 59%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Be7 5. Nd2 c6 6. Bd3
games: 257, white: 59%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Nbd7 5. Nd2 b6 6. Ngf3
games: 322, white: 59%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Nf3 Bb4+ 6. Nbd2
games: 11900, white: 58%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2
games: 1882, white: 58%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Be7 5. c4 c6 
games: 2056, white: 58%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. Nbd2 c5 
games: 1856, white: 58%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Bd3 Be7 
games: 3439, white: 58%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Nbd7 
games: 1882, white: 58%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. c4 Be7 
games: 2056, white: 58%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Nbd7 5. Ngf3 c5 
games: 1882, white: 58%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Nf3 Be7 
games: 1882, white: 58%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 Be7 5. Nf3 c6 
games: 416, white: 58%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Be7 5. Nbd2 Nbd7 6. Ne5
games: 156, white: 58%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Be7 5. Nbd2 b6 6. Ne5
games: 86, white: 58%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Be7 5. h3 a6 6. Nbd2
games: 31, white: 58%, black: 41%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Be7 5. c3 Nbd7 6. Ne5
games: 416, white: 58%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. Nbd2 Be7 6. Ne5
games: 31, white: 58%, black: 41%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. c3 Be7 6. Ne5
games: 5972, white: 58%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Bd6 6. Bg3
games: 296, white: 58%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. c4 dxc4 6. Bxc4
games: 416, white: 58%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. Ngf3 Nbd7 6. Ne5
games: 156, white: 58%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. Ngf3 b6 6. Ne5
games: 104, white: 58%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. c4 O-O 6. c5
games: 416, white: 58%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Nbd7 5. Ngf3 Be7 6. Ne5
games: 156, white: 58%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 b6 5. Ngf3 Be7 6. Ne5
games: 51, white: 58%, black: 27%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Be7 5. c3 O-O 6. h3
games: 31, white: 58%, black: 41%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Be7 5. Nf3 Nbd7 6. Ne5
games: 51, white: 58%, black: 27%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Be7 5. Bd3 O-O 6. h3
games: 31, white: 58%, black: 41%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Nbd7 5. Nf3 Be7 6. Ne5
games: 354, white: 58%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Nc3 a6 6. c5
games: 39, white: 58%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Nc3 a6 6. cxd5
games: 296, white: 58%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Nf3 dxc4 6. Bxc4
games: 36, white: 58%, black: 41%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Qb3 Bd6 6. Bg5
games: 84, white: 58%, black: 38%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Nd2 Bd6 6. Bg5
games: 17912, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nc3
games: 42, white: 57%, black: 38%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 b6 5. Qe2
games: 523, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Qb3
games: 8341, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Bd6 
games: 282, white: 57%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. c3 b6 
games: 124, white: 57%, black: 38%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. Bd3 a6 
games: 267, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. c3 c6 
games: 124, white: 57%, black: 38%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Be7 5. Nd2 a6 
games: 282, white: 57%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Bd6 5. Nd2 b6 
games: 267, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Be7 5. Nd2 c6 
games: 4983, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Bd6 5. Ne5 Nbd7 6. Nd2
games: 4983, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Bd6 5. Nbd2 Nbd7 6. Ne5
games: 14, white: 57%, black: 42%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c4 Qb6 6. Nc3
games: 1988, white: 57%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Be7 5. Nbd2 O-O 6. Ne5
games: 135, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Be7 5. h3 Nbd7 6. Be2
games: 249, white: 57%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Be7 5. c3 Nbd7 6. h3
games: 54, white: 57%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. Bd3 c5 6. O-O
games: 4983, white: 57%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. Nbd2 Bd6 6. Ne5
