white: 55%, black: 38%, pgn:1. e4 c5 2. c3 e6 3. d4 Nf6 4. e5 Nd5 5. Nf3 Nc6 
white: 55%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Be2 f6 7. O-O
white: 55%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Be2 f6 7. O-O
white: 55%, black: 24%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Nf3 cxd4 6. cxd4 Nf6 7. Nc3 Qa5 
white: 55%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Nh6 6. Bd3 cxd4 7. Bxh6 gxh6 
white: 55%, black: 10%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Nf3 Nf6 6. Be3 Nc6 7. dxc5 Qxd1+ 8. Kxd1
white: 55%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Nh6 6. Bd3 cxd4 7. Bxh6 gxh6 8. cxd4
white: 54%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 cxd4 
white: 54%, black: 27%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Nge7 6. Be2 cxd4 
white: 54%, black: 18%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Nf3 Nec6 6. Bd3 Be7 
white: 54%, black: 27%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Nf3 Nbc6 6. Be2 cxd4 
white: 54%, black: 18%, pgn:1. e4 c5 2. c3 e6 3. d4 a6 4. Nf3 d5 5. exd5 Qxd5 6. Be2 cxd4 
white: 54%, black: 27%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Nge7 6. Be2 cxd4 7. cxd4
white: 54%, black: 27%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Nf3 Nbc6 6. Be2 cxd4 7. cxd4
white: 54%, black: 20%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Nf3 Nf6 6. Na3 cxd4 7. Nb5 Qd8 
white: 54%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. a3 c4 7. Nbd2 Bd7 8. b3
white: 54%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. a3 c4 7. Nbd2 Bd7 8. b3
white: 54%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. a3 Nc6 6. Nf3 c4 7. Nbd2 Bd7 8. b3
white: 53%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. g3
white: 53%, black: 22%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Bd3 cxd4 7. O-O
white: 53%, black: 22%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Bd3 cxd4 7. O-O
white: 53%, black: 22%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O f6 
white: 53%, black: 22%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Be2 Bd7 7. O-O f6 
white: 53%, black: 20%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Nf3 Nf6 6. Na3 cxd4 7. Nb5 Qd8 8. Qxd4
white: 53%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Bd7 6. Be2 Nge7 7. O-O Ng6 8. Re1
white: 53%, black: 30%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O Nh6 8. Bxh6
white: 53%, black: 30%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Be2 Bd7 7. O-O Nh6 8. Bxh6
white: 53%, black: 23%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. Nf3 Nc6 6. Be2 Nge7 7. O-O Ng6 8. Re1
