games: 323, white: 55%, black: 38%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Nc3 Bg7 9. Bf4 O-O 10. Qd2 e6 
games: 323, white: 55%, black: 38%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Qd2 e6 
games: 320, white: 40%, black: 52%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. dxc5 Qxd1+ 
games: 320, white: 40%, black: 52%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. dxc5 Qxd1+ 8. Kxd1
games: 319, white: 55%, black: 40%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. h3 O-O 10. Nc3
games: 309, white: 37%, black: 57%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nf3 Bg4 
games: 284, white: 47%, black: 46%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. h3
games: 273, white: 41%, black: 52%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 e6 8. Nc3
games: 263, white: 52%, black: 40%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 e6 8. Nc3 Qh4+ 9. g3 Qd4 10. Qxd4 cxd4 11. Nb5 Na6 12. d6
games: 257, white: 40%, black: 52%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 cxd4 8. Qxd4
games: 254, white: 61%, black: 34%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 e6 8. Nc3 exd5 9. cxd5 c4 10. d6 Be6 
games: 250, white: 41%, black: 52%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 e6 8. Nc3 cxd4 
games: 239, white: 45%, black: 47%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. h3 O-O 
games: 231, white: 42%, black: 53%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nf3 Bg4 10. Nc3 O-O 11. Be2 e6 
games: 231, white: 42%, black: 53%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 Bg4 8. d5 g6 9. Be2 Bg7 10. Bf4 O-O 11. Nc3 e6 
games: 231, white: 42%, black: 53%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. Be2 Bg4 10. Bf4 O-O 11. Nc3 e6 
games: 231, white: 42%, black: 53%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg4 9. Be2 Bg7 10. Bf4 O-O 11. Nc3 e6 
games: 220, white: 34%, black: 60%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 e6 8. Be3 Nc6 
games: 217, white: 35%, black: 57%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. Be2 O-O 10. O-O Bg4 11. Bf4
games: 215, white: 50%, black: 45%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Nc3 Bg7 9. Bf4 O-O 10. Bd3
games: 215, white: 50%, black: 45%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Bd3
games: 211, white: 62%, black: 33%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 e6 8. Nc3 exd5 9. cxd5 c4 10. d6 Be6 11. Nf3
games: 209, white: 39%, black: 53%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nf3 Bg4 10. Nc3 N8d7 
games: 206, white: 50%, black: 41%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 e6 8. Nc3 Qh4+ 9. g3 Qd4 10. Qxd4 cxd4 11. Nb5 Na6 12. d6 f6 
games: 205, white: 58%, black: 36%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Nc3 Bg7 9. Bf4 O-O 10. Qd2 e6 11. O-O-O
games: 205, white: 58%, black: 36%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Qd2 e6 11. O-O-O
games: 203, white: 33%, black: 57%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 Bg4 8. d5 g6 9. Be2 Bg7 10. Bf4
games: 203, white: 33%, black: 57%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. Be2 Bg4 10. Bf4
games: 203, white: 33%, black: 57%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg4 9. Be2 Bg7 10. Bf4
games: 201, white: 56%, black: 37%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Nc3 Bg7 9. Bf4 O-O 10. Qd2 e6 11. O-O-O exd5 12. cxd5
games: 201, white: 56%, black: 37%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Qd2 e6 11. O-O-O exd5 12. cxd5
games: 199, white: 39%, black: 55%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nf3 Bg4 10. Nc3 O-O 11. h3 Bxf3 12. Qxf3 N8d7 
games: 196, white: 52%, black: 41%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nf3 Bg4 10. Nc3 O-O 11. h3 Bxf3 12. Qxf3 e6 13. O-O-O
games: 195, white: 40%, black: 50%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 Bg4 8. d5 g6 9. Be2 Bg7 
games: 195, white: 40%, black: 50%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. Be2 Bg4 
games: 195, white: 40%, black: 50%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg4 9. Be2 Bg7 
games: 192, white: 57%, black: 37%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Nc3 Bg7 9. Bf4 O-O 10. Qd2 e6 11. O-O-O exd5 
games: 192, white: 57%, black: 37%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Qd2 e6 11. O-O-O exd5 
games: 191, white: 48%, black: 42%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nf3 Bg4 10. Nc3 O-O 11. Be2 e6 12. O-O exd5 13. cxd5
games: 191, white: 48%, black: 42%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 Bg4 8. d5 g6 9. Be2 Bg7 10. Bf4 O-O 11. Nc3 e6 12. O-O exd5 13. cxd5
games: 191, white: 48%, black: 42%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. Be2 Bg4 10. Bf4 O-O 11. Nc3 e6 12. O-O exd5 13. cxd5
games: 191, white: 48%, black: 42%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg4 9. Be2 Bg7 10. Bf4 O-O 11. Nc3 e6 12. O-O exd5 13. cxd5
games: 187, white: 47%, black: 48%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. h3 O-O 10. Nc3 e6 
games: 185, white: 38%, black: 54%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 cxd4 8. Qxd4 Qxd4 
games: 185, white: 38%, black: 54%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 cxd4 8. Qxd4 Qxd4 9. Nxd4
games: 180, white: 49%, black: 46%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Nc3 Bg7 9. Bf4 O-O 10. Bd3 e6 
games: 180, white: 49%, black: 46%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nc3 O-O 10. Bd3 e6 
games: 180, white: 46%, black: 45%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. Be2
games: 174, white: 41%, black: 52%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nf3 O-O 
games: 172, white: 48%, black: 44%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nf3 Bg4 10. Nc3 O-O 11. Be2 e6 12. O-O
games: 172, white: 48%, black: 44%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 Bg4 8. d5 g6 9. Be2 Bg7 10. Bf4 O-O 11. Nc3 e6 12. O-O
games: 172, white: 48%, black: 44%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. Be2 Bg4 10. Bf4 O-O 11. Nc3 e6 12. O-O
games: 172, white: 48%, black: 44%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg4 9. Be2 Bg7 10. Bf4 O-O 11. Nc3 e6 12. O-O
games: 169, white: 37%, black: 59%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nf3 Bg4 10. Nc3 O-O 11. Be2 N8d7 
games: 169, white: 37%, black: 59%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 Bg4 8. d5 g6 9. Be2 Bg7 10. Bf4 O-O 11. Nc3 N8d7 
games: 169, white: 37%, black: 59%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. Be2 Bg4 10. Bf4 O-O 11. Nc3 N8d7 
games: 169, white: 37%, black: 59%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg4 9. Be2 Bg7 10. Bf4 O-O 11. Nc3 N8d7 
games: 162, white: 45%, black: 46%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. h3
games: 160, white: 38%, black: 56%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. d5 g6 8. Bf4 Bg7 9. Nf3 Bg4 10. h3 Bxf3 11. Qxf3
games: 159, white: 44%, black: 50%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. Be2 O-O 10. O-O
games: 154, white: 40%, black: 51%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 e6 8. Nc3 cxd4 9. Qxd4
games: 153, white: 33%, black: 60%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 Bg4 8. d5 g6 9. Be2 Bg7 10. Bf4 O-O 
games: 153, white: 33%, black: 60%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg7 9. Be2 Bg4 10. Bf4 O-O 
games: 153, white: 33%, black: 60%, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 c5 7. Nf3 g6 8. d5 Bg4 9. Be2 Bg7 10. Bf4 O-O 
