games: 26035, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. d4 cxd4 5. cxd4 exd4 6. Nxd4
games: 26035, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. d4 exd4 5. cxd4 cxd4 6. Nxd4
games: 25344, white: 46%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. d4 cxd4 5. cxd4
games: 24687, white: 48%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nb6 6. Bb3
games: 24512, white: 47%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 
games: 24089, white: 47%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 d6 
games: 23960, white: 51%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d4 cxd4 5. cxd4 d6 6. Be2
games: 23950, white: 48%, black: 43%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nb6 
games: 23891, white: 50%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 d6 5. h3
games: 23805, white: 48%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. exd5 Qxd5 
games: 23541, white: 52%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. Bc4 dxc3 6. Nxc3
games: 23070, white: 51%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4
games: 21857, white: 51%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 
games: 21793, white: 51%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. cxd4 Bg7 
games: 21688, white: 49%, black: 43%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. O-O e5 
games: 21688, white: 49%, black: 43%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 e5 5. O-O Bg7 
games: 21380, white: 47%, black: 43%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. exd5 exd5 6. Bb5
games: 21293, white: 44%, black: 48%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d4 cxd4 5. e5
games: 21016, white: 45%, black: 48%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5
games: 19946, white: 49%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 Nge7 5. O-O
games: 19415, white: 47%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 Bg7 5. O-O
games: 18925, white: 47%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. d4
games: 18780, white: 54%, black: 39%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4
games: 16759, white: 45%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 5. d4 Nh6 
games: 16759, white: 45%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nh6 
games: 16637, white: 47%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Nf6 6. Be2
games: 16637, white: 47%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. Be2 Nf6 6. d4
games: 16603, white: 49%, black: 43%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 Nge7 5. O-O a6 
games: 15647, white: 52%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. cxd4 Bg7 6. Nc3
games: 15236, white: 48%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 5. d4 Nge7 6. a3
games: 15236, white: 48%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. e5 Nge7 6. a3
games: 13984, white: 43%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Bf5 
games: 13723, white: 45%, black: 48%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3
games: 13262, white: 46%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 e5 
games: 13016, white: 44%, black: 49%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 Bg4 
games: 12526, white: 48%, black: 44%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. Nbd2
games: 12289, white: 44%, black: 50%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. Bc4 dxc3 
games: 12076, white: 48%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. d4 cxd4 5. Bc4
games: 12072, white: 46%, black: 45%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. exd5
games: 12060, white: 52%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d4 cxd4 5. cxd4 d6 6. Nc3
games: 11685, white: 46%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 d6 5. Bc2
games: 11530, white: 43%, black: 48%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d3 d6 5. Be2
games: 11453, white: 49%, black: 43%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 Nge7 5. O-O a6 6. Ba4
games: 11074, white: 49%, black: 44%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5
games: 10609, white: 52%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d4 cxd4 5. cxd4 d6 
games: 10505, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 Bg7 5. O-O e6 
games: 10440, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. d4
games: 10360, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 e6 
games: 10360, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 Nf6 5. e5 Nd5 
games: 10197, white: 49%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 e6 
games: 10042, white: 41%, black: 51%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d3
games: 9887, white: 52%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. cxd4 d6 
games: 9870, white: 47%, black: 46%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 Bg7 
games: 9523, white: 53%, black: 39%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. O-O e5 6. d4
games: 9523, white: 53%, black: 39%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 e5 5. O-O Bg7 6. d4
games: 9385, white: 41%, black: 51%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d3 d6 
games: 9375, white: 52%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5
games: 9043, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. d4 cxd4 6. cxd4
games: 9039, white: 55%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. d4 cxd4 
games: 8930, white: 51%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 Bg4 5. Bb5
games: 8882, white: 49%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. Na3
games: 8498, white: 50%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 d5 6. exd5
games: 8498, white: 44%, black: 47%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. Nbd2 cxd4 6. cxd4
games: 8416, white: 49%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Nf6 6. Be3
games: 8268, white: 50%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. Bd3 Nf6 6. Nbd2
games: 8268, white: 50%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. Nbd2 Nf6 6. Bd3
games: 8268, white: 50%, black: 42%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 Nf6 5. Bd3 d5 6. Nbd2
