games: 11378, white: 52%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nf6 5. Bg2 d6 
games: 11351, white: 51%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 Nd4 
games: 11351, white: 51%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. Bg2 Bg7 6. Be3 Nd4 
games: 11134, white: 49%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2 d5 
games: 11134, white: 49%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 Nf6 5. Bg2 d5 
games: 11132, white: 46%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 Nf6 5. Bg2
games: 10822, white: 52%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 
games: 10591, white: 49%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 d5 5. Bg2 d4 6. Nce2
games: 10264, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3
games: 9695, white: 52%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. d3
games: 9564, white: 51%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 a6 5. d4 cxd4 6. Nxd4
games: 9564, white: 51%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 a6 5. d4 cxd4 6. Nxd4
games: 8709, white: 46%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. Nge2
games: 8634, white: 47%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 Nf6 5. d4 cxd4 6. Nxd4 Bb4 
