games: 16, white: 25%, black: 56%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Qc2 Na5 8. Nbd2 Ne7 
games: 40, white: 35%, black: 65%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. b3 Bd7 8. Bd3 cxd4 9. cxd4 Nxd4 
games: 20, white: 30%, black: 60%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Qc2 Nge7 
games: 10, white: 30%, black: 60%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. h4 f6 8. h5 fxe5 9. dxe5
games: 10, white: 30%, black: 60%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. h4 f6 8. h5 fxe5 9. dxe5 Bc5 
games: 14, white: 28%, black: 57%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Be2 Bd7 8. Qc2 Nge7 
games: 14, white: 28%, black: 57%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 c4 8. Qc2 Nge7 
games: 18, white: 33%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. h4 f6 8. h5
games: 21, white: 33%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 a5 8. O-O a4 9. c4 Nxd4 
games: 98, white: 36%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Bd3 a5 8. dxc5 Bxc5 9. O-O f6 
games: 98, white: 36%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. Bd3 Bd7 8. dxc5 Bxc5 9. O-O f6 
