games: 233, white: 42%, black: 46%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3 a6 5. Bd3
games: 23952, white: 45%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 
games: 36875, white: 45%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3
games: 5747, white: 45%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Be3
games: 1305, white: 45%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Be2 Nc6 
games: 182, white: 45%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Nbd7 5. Nf3 e5 
games: 19310, white: 45%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Be3 b5 
games: 5228, white: 45%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Be3 b5 
games: 1003, white: 45%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 Bg7 5. Be2 c6 6. Qd2
games: 1568, white: 45%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Be3 c6 5. Qd2 b5 6. a3
games: 1170, white: 45%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. Qd2 Nbd7 6. O-O-O
games: 1170, white: 45%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 Nbd7 5. Qd2 c6 6. O-O-O
games: 35, white: 45%, black: 48%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Bg7 5. Bc4 Nbd7 6. Nge2
games: 181, white: 44%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Bg7 5. Bg5 a6 
games: 181, white: 44%, black: 47%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Bg5 Bg7 
