games: 279, white: 40%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. c4 c6 6. d4 cxd5 7. c5 Bc7 
games: 279, white: 40%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. d4 Bd6 6. c4 cxd5 7. c5 Bc7 
games: 279, white: 40%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. c4 Bd6 6. d4 cxd5 7. c5 Bc7 
games: 663, white: 39%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bb5+ c6 5. dxc6 Nxc6 6. d4 Bd6 7. Nf3
games: 18, white: 38%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. dxc6 Nxc6 6. Nc3 Nf6 7. Be2
games: 149, white: 38%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Nc3 Bd6 6. Nf3 O-O 7. Be2 c6 
games: 77, white: 36%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. Bc4 Ne7 6. d4 Ng6 
games: 77, white: 36%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Bd6 5. Nf3 Ne7 6. d4 Ng6 
games: 88, white: 36%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6 Nxc6 7. Nc3 Bb4 
games: 88, white: 36%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. dxc6 Nxc6 6. Nc3 Nf6 7. Bb5 Bb4 
games: 111, white: 35%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 5. Bc4 Ne7 6. O-O Ng6 7. d4
games: 111, white: 35%, black: 55%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Bd6 5. Nf3 Ne7 6. O-O Ng6 7. d4
