white: 55%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nc3 e6 5. Nf3 Nc6 6. Bf4
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 
white: 54%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nc3 e6 5. Bf4
white: 54%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Bf4 Nf6 
white: 54%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. cxd5 Qxd5 
white: 54%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 dxc4 5. Nc3 a6 
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Bf5 5. c4 Nf6 
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. c3 e6 6. Nf3
white: 54%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. h3 e6 6. c3
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. Nf3 e6 6. c3
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. Nf3 e6 6. Bf4
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Nf3 Nf6 6. c3
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Nf3 Nf6 6. Bf4
white: 54%, black: 38%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Bf4 Nf6 6. Nf3
white: 54%, black: 34%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 dxc4 5. Nc3 e5 6. Nf3
white: 54%, black: 39%, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nc6 5. c4 Bg4 6. cxd5
