white: 62%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Qc2 d6 5. d4 cxd4 6. Bc4
white: 62%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d4 cxd4 5. cxd4 e6 6. d5
white: 62%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d4 cxd4 5. Bc4 dxc3 6. Qe2
white: 62%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 Nf6 6. d5
white: 62%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 a6 6. d5
white: 62%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 d5 5. Bxc6+ bxc6 6. d3
white: 62%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 a6 5. Be2 Nf6 6. Qc2
white: 62%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. O-O h6 6. d4
white: 62%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 Bg7 5. d4 e6 6. dxc5
white: 62%, black: 29%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 d5 5. Bxc6+ bxc6 6. d3
white: 61%, black: 29%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 d5 5. Bxc6+
white: 61%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. O-O h6 
white: 61%, black: 32%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 a6 5. Bxc6 bxc6 
white: 61%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. Na3 e5 6. d3
white: 61%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 g6 5. Bb5 d4 6. Bxc6+
white: 61%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Qc2 d6 5. d4 e5 6. Be3
white: 61%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 a6 6. Nc3
white: 61%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 Nf6 5. Bxc6 dxc6 6. d3
white: 61%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Be7 5. O-O h6 6. d4
white: 61%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Be7 5. d4 d6 6. dxc5
white: 61%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Nf6 5. Qe2 d6 6. Ng5
white: 61%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. O-O Bg4 6. Re1
white: 61%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. d4 Be7 6. dxc5
white: 61%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Qc7 5. O-O d6 6. Ng5
white: 61%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. d4 Nf6 6. d5
white: 60%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 Qc7 5. d4
white: 60%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. d4 exd4 5. Bb5
white: 60%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 a6 
white: 60%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d3 g6 5. Be3 b6 
white: 60%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 d4 5. Bc4 Bf5 6. e6
white: 60%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 d4 5. Bc4 a6 6. d3
white: 60%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 g6 5. h3 d4 6. cxd4
white: 60%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bb5 Nc7 6. Bd3
white: 60%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 c4 5. Bxc4 Nxe4 6. d3
white: 60%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Qc2 e5 5. Bc4 Be7 6. a4
white: 60%, black: 32%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 d6 6. d5
white: 60%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 a6 6. a3
white: 60%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 Nge7 5. O-O g6 6. e5
white: 60%, black: 32%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 a6 5. Bxc6 bxc6 6. e5
white: 60%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. d4 exd4 5. Bc4 Nf6 6. Ng5
white: 60%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Nf6 5. d4 exd4 6. Ng5
white: 60%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. d4 Bg4 6. Qb3
white: 60%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Nge7 5. O-O a6 6. Be2
white: 60%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Nge7 5. O-O Qb6 6. Bc4
white: 60%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Nf6 5. O-O Be7 6. d4
white: 60%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Nf6 5. O-O Be7 6. Re1
white: 60%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 d6 5. Bb5 Bd7 6. dxc5
white: 60%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 Bg7 5. Qe2 Nf6 6. e5
white: 60%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d3 Bg7 5. Be3 b6 6. d4
white: 59%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 Nf6 5. d5
white: 59%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Ng4 5. d4 g6 
white: 59%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Be7 5. O-O h6 
white: 59%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. Na3 a6 6. Be2
white: 59%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 g6 5. Bb5 Bd7 6. Bxc6
white: 59%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. d4 Bg4 6. dxe5
white: 59%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bb5 Nge7 5. O-O a6 6. Bc4
white: 59%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. cxd4 d5 6. exd5
white: 59%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. h4 dxc3 6. Nxc3
white: 59%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 Bg7 5. dxc5 a5 6. Bc4
white: 59%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 d5 5. exd5 Qxd5 6. Na3
white: 59%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 d6 5. Bc4 Bg7 6. d5
white: 59%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 Bg7 5. d4 d6 6. d5
white: 59%, black: 40%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 d6 5. d4 Bg7 6. d5
white: 59%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Bg7 5. O-O e6 6. d4
white: 59%, black: 32%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 a6 5. Bxc6 bxc6 6. O-O
white: 59%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d3 Bg7 5. Qc2 e5 6. g3
white: 58%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 5. Na3
white: 58%, black: 29%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bd3 d5 5. exd5
white: 58%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. d3 Bg4 5. Nbd2 e5 
white: 58%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Nf6 5. d3 h6 
white: 58%, black: 38%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Nf6 5. Qe2 a6 
white: 58%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 d5 5. Bxc6+ bxc6 
white: 58%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. d4 Bg4 6. dxc5
white: 58%, black: 37%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. Na3 Bg4 6. Nb5
white: 58%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. exd5 Qxd5 5. Na3 a6 6. d4
white: 58%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 d4 5. Bb5 e6 6. Bxc6+
white: 58%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 Bf5 5. Bb5 Qb6 6. Na3
white: 58%, black: 33%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 Bf5 5. d3 e6 6. Bf4
white: 58%, black: 34%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 g6 5. h3 Bg7 6. Bb5
white: 58%, black: 32%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. Bc4 Nc7 6. Bb3
white: 58%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 c4 5. Bxc4 Nxe4 6. d4
white: 58%, black: 29%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d3 d6 5. Bg5 e6 6. g3
white: 58%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. d4 cxd4 5. Bd3 e5 6. Bc4
white: 58%, black: 35%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. cxd4 d6 6. Nc3
white: 58%, black: 41%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 cxd4 5. Bc4 d5 6. Bb5
white: 58%, black: 36%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 d5 5. Nbd2 Qb6 6. dxc5
