games: 12, white: 58%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 Nc7 5. d4 b5 
games: 17, white: 58%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Qf3 Nb6 5. d4 cxd4 
games: 12, white: 58%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 cxd4 5. c4 Nb4 6. Qa4
games: 95, white: 58%, black: 32%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. Bc4 Nc7 6. Bb3
games: 17, white: 58%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Qf3 Nb6 5. d4 cxd4 6. cxd4
games: 673, white: 58%, black: 32%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 cxd4 5. Nf3 d6 6. Qxd4 dxe5 
games: 224, white: 58%, black: 36%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Nf3 Be7 6. Bd3 d6 
games: 673, white: 58%, black: 32%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 d6 5. Nf3 cxd4 6. Qxd4 dxe5 
games: 465, white: 58%, black: 34%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. g3 e6 6. Bg2 Qc7 
games: 224, white: 58%, black: 36%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. d4 Be7 6. Bd3 d6 
games: 465, white: 58%, black: 34%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. g3 Nc6 6. Bg2 Qc7 
games: 673, white: 58%, black: 32%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 d6 5. d4 cxd4 6. Qxd4 dxe5 
games: 465, white: 58%, black: 34%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 Nc6 5. Bg2 e6 6. Nf3 Qc7 
games: 465, white: 58%, black: 34%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 Nc6 5. Nf3 e6 6. Bg2 Qc7 
games: 465, white: 58%, black: 34%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 e6 5. Nf3 Nc6 6. Bg2 Qc7 
games: 106, white: 57%, black: 34%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 g6 5. Qb3
games: 42, white: 57%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 Nc7 5. Bb3
games: 28, white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 Nc6 5. Bg2 Qc7 
games: 38, white: 57%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Bc4 Nb6 6. Be2
games: 19, white: 57%, black: 36%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. c4 Ne7 6. b4
games: 42, white: 57%, black: 30%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 d6 5. Bb5+ Nc6 6. Bxc6+
games: 69, white: 57%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 Nb6 5. Bb3 Nc6 6. Qe2
games: 38, white: 57%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. d4 Nb6 6. Be2
games: 118, white: 57%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 Nc7 5. d4 cxd4 6. cxd4
games: 14, white: 57%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 Nc7 5. d4 cxd4 6. Bb3
games: 64, white: 57%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. Bc4 Nc7 6. d4 d5 
games: 116, white: 57%, black: 31%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. g3 d6 6. exd6 Qxd6 
games: 80, white: 57%, black: 32%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. g3 d6 6. Bg2 dxe5 
games: 14, white: 57%, black: 42%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. g3 a6 6. Bg2 d6 
games: 116, white: 57%, black: 31%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 d6 5. exd6 e6 6. g3 Qxd6 
games: 59, white: 57%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 d6 5. Bc4 Nb6 6. e6 Nxc4 
games: 21, white: 57%, black: 28%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 d6 5. Bb5+ Nc6 6. exd6 exd6 
games: 80, white: 57%, black: 32%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 d6 5. Bg2 e6 6. Nf3 dxe5 
games: 116, white: 57%, black: 31%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 e6 5. Nf3 d6 6. exd6 Qxd6 
games: 80, white: 57%, black: 32%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 e6 5. Nf3 d6 6. Bg2 dxe5 
games: 14, white: 57%, black: 42%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 e6 5. Nf3 a6 6. Bg2 d6 
games: 16, white: 56%, black: 43%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 Qc7 5. Bb3
games: 44, white: 56%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Bc4 Nc7 
games: 200, white: 56%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 Nc6 5. dxc5 e6 
games: 1240, white: 56%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. b4 cxb4 
games: 44, white: 56%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. d4 Nc7 
games: 385, white: 56%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Qf3 Nb6 
games: 180, white: 56%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 Nc7 5. d4 cxd4 
games: 385, white: 56%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Qf3 e6 5. Bc4 Nb6 
games: 262, white: 56%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Nf3 Be7 6. Bd3
games: 16, white: 56%, black: 43%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 Nc6 5. f4 d6 6. h3
games: 262, white: 56%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. d4 Be7 6. Bd3
games: 1237, white: 56%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. b4 cxb4 6. c4
games: 155, white: 56%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 cxd4 5. Nf3 Nc6 6. cxd4 Nb6 
games: 46, white: 56%, black: 36%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 cxd4 5. Nf3 d6 6. Bc4 Be6 
games: 232, white: 56%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 cxd4 5. Nf3 d6 6. Qxd4 Nb6 
games: 155, white: 56%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 cxd4 5. cxd4 Nc6 6. Nf3 Nb6 
