white: 65%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bd3 Be7 6. Nf3 Nc6 7. Qe2
white: 65%, black: 32%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Neg5 Bd6 7. Nxf7
white: 65%, black: 29%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Nf3 Nf6 6. Bd3 O-O 7. Qe2
white: 65%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Nf3 Nf6 6. Bd3 Nc6 7. Qe2
white: 65%, black: 29%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Bd3 Nf6 6. Nf3 O-O 7. Qe2
white: 65%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Bd3 Nf6 6. Nf3 Nc6 7. Qe2
white: 65%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Bd3 Nc6 6. Nf3 Nf6 7. Qe2
white: 64%, black: 29%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bd3 Nc6 6. Nxf6+
white: 64%, black: 29%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 b6 5. Nf3 Bb7 6. Bb5+
white: 64%, black: 33%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ Qxf6 6. g3 Bd6 7. Bg2
white: 64%, black: 28%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bd3 Be7 6. c3 O-O 7. Qe2
white: 64%, black: 28%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Ned2 Nf6 7. Be2
white: 64%, black: 28%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Bd3 Nf6 6. c3 O-O 7. Qe2
white: 63%, black: 31%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ Qxf6 6. Bd3
white: 63%, black: 31%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 c5 6. d5 exd5 
white: 63%, black: 30%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Nf3 h6 6. Bd3 Nf6 
white: 63%, black: 31%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 b6 6. Bb5 a6 7. Bc6
white: 63%, black: 31%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 c5 6. d5 exd5 7. Qxd5
white: 63%, black: 23%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. g3 Ngf6 6. Nxf6+ Qxf6 7. Nf3
white: 63%, black: 32%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ Qxf6 6. c3 Bd6 7. Bd3
white: 63%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ Qxf6 6. c3 c5 7. Qf3
white: 63%, black: 32%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bd3 Be7 6. Nf3 O-O 7. Nxf6+
white: 63%, black: 27%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Nc3 Nf6 7. Bd3
white: 63%, black: 36%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Bg5 Be7 6. Qd2 Bc6 7. Bxe7
white: 63%, black: 32%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Nf3 Nf6 6. Bd3 O-O 7. Nxf6+
white: 63%, black: 32%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Bd3 Nf6 6. Nf3 O-O 7. Nxf6+
